;OOILIBS Data File;
Wavelength [nm];Counts;
293,8300;32,625;
293,8858;-3,6917021;
293,9416;-1,0584042;
293,9975;-2,466939;
294,0533;-2,5073209;
294,1091;-1,2215827;
294,1649;-2,3491986;
294,2208;-3,1539409;
294,2766;-0,13703014;
294,3324;-2,9740177;
294,3883;-4,0276974;
294,4441;-1,8578511;
294,4999;-1,0047845;
294,5557;-3,2832879;
294,6116;0,88301872;
294,6674;-1,1588947;
294,7232;-0,38466159;
294,7790;0,098359116;
294,8349;-0,14253853;
294,8907;0,72910149;
294,9465;-3,4960643;
295,0024;-2,348725;
295,0582;-0,53469885;
295,1140;-2,5102221;
295,1698;-0,63106617;
295,2257;-0,99404569;
295,2815;8,7175267;
295,3373;24,400259;
295,3931;29,751208;
295,4490;30,939846;
295,5048;29,806453;
295,5606;22,079263;
295,6164;17,140969;
295,6723;19,161106;
295,7281;19,899035;
295,7839;21,423295;
295,8398;20,225699;
295,8956;18,627851;
295,9514;16,238168;
296,0072;15,508934;
296,0631;20,022052;
296,1189;16,703381;
296,1747;10,652238;
296,2305;9,625;
296,2864;7,2596868;
296,3422;6,1978197;
296,3980;10,727034;
296,4538;15,070811;
296,5097;21,62374;
296,5655;32,284632;
296,6213;44,809699;
296,6772;45,75061;
296,7330;47,077354;
296,7888;46,244107;
296,8446;36,666346;
296,9005;28,036218;
296,9563;30,594995;
297,0121;34,450877;
297,0679;34,984522;
297,1238;33,552334;
297,1796;26,722825;
297,2354;21,941347;
297,2913;33,490364;
297,3471;39,877493;
297,4029;42,822761;
297,4587;31,225801;
297,5146;18,786359;
297,5704;9,9933018;
297,6262;7,6062951;
297,6820;11,089443;
297,7379;8,6936091;
297,7937;7,0272756;
297,8495;6,6199191;
297,9053;5,7554887;
297,9612;7,2404237;
298,0170;13,323946;
298,0728;15,543883;
298,1287;22,798463;
298,1845;34,42003;
298,2403;37,394014;
298,2961;36,683207;
298,3520;41,262626;
298,4078;46,536431;
298,4636;43,11075;
298,5194;38,361638;
298,5753;33,048521;
298,6311;26,305593;
298,6869;21,486627;
298,7428;22,583009;
298,7986;21,844576;
298,8544;14,22844;
298,9102;14,620027;
298,9661;9,6910631;
299,0219;10,967756;
299,0777;13,541284;
299,1335;14,566638;
299,1894;12,424149;
299,2452;13,234226;
299,3010;17,851107;
299,3568;21,88436;
299,4127;27,762295;
299,4685;38,623083;
299,5243;39,393959;
299,5802;33,086396;
299,6360;25,192741;
299,6918;13,164144;
299,7476;9,813911;
299,8035;19,125;
299,8593;20,62347;
299,9151;30,709481;
299,9709;47,157355;
300,0268;60,448778;
300,0826;64,103794;
300,1384;60,678588;
300,1943;54,736981;
300,2501;42,336353;
300,3059;32,635212;
300,3617;31,561096;
300,4176;20,748927;
300,4734;14,711896;
300,5292;18,704276;
300,5850;14,87637;
300,6409;18,296473;
300,6967;27,334508;
300,7525;36,222413;
300,8083;48,197964;
300,8642;55,702828;
300,9200;55,090677;
300,9758;50,68228;
301,0317;46,071564;
301,0875;38,00052;
301,1433;23,835638;
301,1991;19,658082;
301,2550;17,773925;
301,3108;12,067885;
301,3666;9,3769816;
301,4224;12,561141;
301,4783;12,892155;
301,5341;15,165018;
301,5899;20,921454;
301,6457;26,88229;
301,7016;33,814074;
301,7574;35,25159;
301,8132;46,240685;
301,8691;51,325291;
301,9249;69,207577;
301,9807;91,053182;
302,0365;100,38422;
302,0924;116,17197;
302,1482;126,50549;
302,2040;102,77207;
302,2598;71,54944;
302,3157;42,955314;
302,3715;30,030845;
302,4273;31,640223;
302,4832;39,370766;
302,5390;47,003824;
302,5948;58,990919;
302,6506;70,943226;
302,7065;66,0118;
302,7623;39,173065;
302,8181;23,57818;
302,8739;18,948891;
302,9298;14,880777;
302,9856;23,852673;
303,0414;34,926611;
303,0972;42,18883;
303,1531;50,699189;
303,2089;46,2979;
303,2647;38,171308;
303,3206;28,756969;
303,3764;18,5865;
303,4322;15,114122;
303,4880;21,391166;
303,5439;30,733913;
303,5997;44,070576;
303,6555;57,238564;
303,7113;68,049854;
303,7672;70,77031;
303,8230;67,198549;
303,8788;52,835105;
303,9347;31,491713;
303,9905;24,055257;
304,0463;31,900626;
304,1021;41,504256;
304,1580;49,411555;
304,2138;60,338815;
304,2696;67,440547;
304,3254;58,657182;
304,3813;50,241025;
304,4371;41,050417;
304,4929;35,749747;
304,5487;36,745674;
304,6046;39,597911;
304,6604;37,07436;
304,7162;46,159941;
304,7721;63,876394;
304,8279;69,618342;
304,8837;58,499821;
304,9395;38,444725;
304,9954;20,637536;
305,0512;13,499527;
305,1070;10,258531;
305,1628;9,549547;
305,2187;8,3753331;
305,2745;10,365963;
305,3303;16,758765;
305,3862;18,100231;
305,4420;21,881438;
305,4978;29,242991;
305,5536;30,934451;
305,6095;36,274235;
305,6653;41,625;
305,7211;49,358051;
305,7769;74,272732;
305,8328;88,873443;
305,8886;85,370918;
305,9444;74,890685;
306,0002;70,427391;
306,0561;52,771947;
306,1119;28,232413;
306,1677;20,625;
306,2236;19,306039;
306,2794;14,319514;
306,3352;14,798434;
306,3910;14,240983;
306,4469;11,062204;
306,5027;15,814716;
306,5585;18,625;
306,6143;22,730565;
306,6702;39,958499;
306,7260;53,549642;
306,7818;77,786235;
306,8376;76,451616;
306,8935;54,656723;
306,9493;32,693063;
307,0051;22,199597;
307,0610;25,033784;
307,1168;30,727359;
307,1726;42,505351;
307,2284;65,50321;
307,2843;87,49072;
307,3401;98,2261;
307,3959;82,749565;
307,4517;60,707282;
307,5076;52,208037;
307,5634;62,374418;
307,6192;84,098191;
307,6751;88,155101;
307,7309;62,724427;
307,7867;38,74489;
307,8425;29,01185;
307,8984;30,136251;
307,9542;36,181423;
308,0100;31,117515;
308,0658;32,401635;
308,1217;49,468441;
308,1775;65,490757;
308,2333;106,77367;
308,2891;144,3263;
308,3450;137,02188;
308,4008;104,80853;
308,4566;76,733989;
308,5125;53,840045;
308,5683;27,292977;
308,6241;18,622968;
308,6799;17,606302;
308,7358;12,995293;
308,7916;17,108861;
308,8474;23,991822;
308,9032;23,480166;
308,9591;24,046831;
309,0149;24,024214;
309,0707;28,613523;
309,1266;43,386023;
309,1824;70,366686;
309,2382;114,47517;
309,2940;170,73457;
309,3499;218,79031;
309,4057;192,0451;
309,4615;133,12078;
309,5173;70,357259;
309,5732;38,083992;
309,6290;25,036525;
309,6848;25,732623;
309,7406;20,756699;
309,7965;21,487436;
309,8523;26,269152;
309,9081;33,652127;
309,9640;50,60885;
310,0198;84,212623;
310,0756;124,66695;
310,1314;130,30247;
310,1873;97,090985;
310,2431;53,619383;
310,2989;24,773354;
310,3547;17,089271;
310,4106;17,105725;
310,4664;12,125;
310,5222;12,200424;
310,5781;11,522078;
310,6339;7,7851516;
310,6897;9,7341805;
310,7455;9,9452618;
310,8014;9,3127981;
310,8572;10,264752;
310,9130;10,125;
310,9688;8,758026;
311,0247;10,151921;
311,0805;14,535942;
311,1363;17,331942;
311,1921;14,419331;
311,2480;16,68659;
311,3038;15,961087;
311,3596;10,000915;
311,4155;11,862821;
311,4713;12,072345;
311,5271;7,6962694;
311,5829;13,913425;
311,6388;14,724808;
311,6946;17,599397;
311,7504;24,473245;
311,8062;21,013624;
311,8621;15,619941;
311,9179;15,114304;
311,9737;18,101243;
312,0295;19,747989;
312,0854;23,088448;
312,1412;25,514479;
312,1970;15,49666;
312,2529;12,90681;
312,3087;14,385395;
312,3645;11,933477;
312,4203;10,154515;
312,4762;12,660704;
312,5320;16,29702;
312,5878;27,661076;
312,6436;41,530052;
312,6995;37,103355;
312,7553;22,923225;
312,8111;16,101061;
312,8670;11,242101;
312,9228;7,946223;
312,9786;12,344697;
313,0344;12,770191;
313,0903;9,2339634;
313,1461;9,586178;
313,2019;10,95611;
313,2577;8,3313022;
313,3136;15,625;
313,3694;15,359726;
313,4252;14,79421;
313,4810;19,461816;
313,5369;20,68919;
313,5927;16,635698;
313,6485;15,220403;
313,7044;15,015071;
313,7602;9,5762714;
313,8160;9,5683684;
313,8718;9,9889494;
313,9277;7,3453091;
313,9835;11,243656;
314,0393;17,367975;
314,0951;14,578687;
314,1510;17,072263;
314,2068;15,988863;
314,2626;17,290977;
314,3185;22,446905;
314,3743;30,382283;
314,4301;29,843508;
314,4859;27,080413;
314,5418;28,854501;
314,5976;18,770365;
314,6534;12,914175;
314,7092;12,507035;
314,7651;11,048918;
314,8209;12,115079;
314,8767;20,275307;
314,9325;19,094679;
314,9884;12,113917;
315,0442;16,656952;
315,1000;19,736082;
315,1559;25,715213;
315,2117;33,789387;
315,2675;32,200518;
315,3233;25,20189;
315,3792;25,310047;
315,4350;30,36431;
315,4908;30,91207;
315,5466;26,965857;
315,6025;25,992679;
315,6583;26,180972;
315,7141;33,559843;
315,7700;40,042338;
315,8258;37,557745;
315,8816;37,02264;
315,9374;28,106681;
315,9933;21,6803;
316,0491;29,507203;
316,1049;41,90095;
316,1607;48,28967;
316,2166;47,970368;
316,2724;44,951298;
316,3282;35,641129;
316,3840;25,55639;
316,4399;20,593761;
316,4957;17,689991;
316,5515;14,90419;
316,6074;24,100091;
316,6632;27,019159;
316,7190;30,547104;
316,7748;31,595617;
316,8307;26,886488;
316,8865;25,72266;
316,9423;29,907076;
316,9981;23,027201;
317,0540;13,949564;
317,1098;12,383793;
317,1656;17,654802;
317,2214;15,51156;
317,2773;18,10868;
317,3331;17,399585;
317,3889;13,120116;
317,4448;18,31786;
317,5006;24,771615;
317,5564;30,243051;
317,6122;43,358865;
317,6681;42,225446;
317,7239;31,285767;
317,7797;27,297208;
317,8355;35,714286;
317,8914;40,898617;
317,9472;42,445653;
318,0030;56,139506;
318,0589;66,73284;
318,1147;78,886605;
318,1705;67,064475;
318,2263;47,263343;
318,2822;36,155446;
318,3380;31,916409;
318,3938;31,552934;
318,4496;30,058682;
318,5055;32,910417;
318,5613;34,573612;
318,6171;33,625;
318,6729;34,31714;
318,7288;35,345819;
318,7846;30,857902;
318,8404;27,317166;
318,8963;31,498069;
318,9521;39,863052;
319,0079;48,296875;
319,0637;35,950673;
319,1196;35,186521;
319,1754;45,098009;
319,2312;58,707248;
319,2870;80,218408;
319,3429;108,72992;
319,3987;121,64391;
319,4545;105,24566;
319,5104;70,656189;
319,5662;47,681821;
319,6220;47,152736;
319,6778;72,125145;
319,7337;115,72643;
319,7895;136,54683;
319,8453;109,14571;
319,9011;69,059971;
319,9570;55,279043;
320,0128;86,232309;
320,0686;115,47462;
320,1244;125,03817;
320,1803;95,853179;
