;OOILIBS Data File;
Wavelength [nm];Counts;
293,8300;24,475006;
293,8858;-2,2500471;
293,9416;1,1802544;
293,9975;-4,0652991;
294,0533;-1,6573148;
294,1091;-0,83182841;
294,1649;-1,5249939;
294,2208;-0,66446435;
294,2766;-0,50895371;
294,3324;-0,69445134;
294,3883;-1,256529;
294,4441;0,68740306;
294,4999;-0,98671762;
294,5557;-0,41946865;
294,6116;-1,7551825;
294,6674;-1,5610115;
294,7232;-4,4960091;
294,7790;-3,2852259;
294,8349;0,56819853;
294,8907;-2,435404;
294,9465;-1,2986079;
295,0024;0,6697511;
295,0582;-1,5002818;
295,1140;-1,8630493;
295,1698;0,9750061;
295,2257;0,69524468;
295,2815;8,5751736;
295,3373;12,78795;
295,3931;15,478227;
295,4490;17,697275;
295,5048;15,337912;
295,5606;15,446615;
295,6164;10,971014;
295,6723;10,655537;
295,7281;12,76948;
295,7839;11,575859;
295,8398;12,108106;
295,8956;11,314992;
295,9514;8,3806494;
296,0072;9,5509075;
296,0631;10,658164;
296,1189;9,7710871;
296,1747;7,0158637;
296,2305;5,8365123;
296,2864;4,7923495;
296,3422;3,1934653;
296,3980;4,3556162;
296,4538;11,873402;
296,5097;10,894998;
296,5655;19,48264;
296,6213;25,774463;
296,6772;22,107937;
296,7330;28,244811;
296,7888;28,478233;
296,8446;20,417925;
296,9005;16,510519;
296,9563;18,936769;
297,0121;20,300883;
297,0679;21,913092;
297,1238;18,936507;
297,1796;13,70689;
297,2354;12,975006;
297,2913;18,413298;
297,3471;24,503061;
297,4029;24,292881;
297,4587;18,323391;
297,5146;11,785988;
297,5704;6,319099;
297,6262;4,9750061;
297,6820;3,3494547;
297,7379;1,7414962;
297,7937;3,4787987;
297,8495;4,1399791;
297,9053;6,1920737;
297,9612;5,3595824;
298,0170;8,4820497;
298,0728;11,812773;
298,1287;12,012715;
298,1845;15,233656;
298,2403;23,013033;
298,2961;20,80993;
298,3520;23,733423;
298,4078;28,156434;
298,4636;28,258685;
298,5194;25,462859;
298,5753;19,825976;
298,6311;16,189831;
298,6869;14,049424;
298,7428;11,516997;
298,7986;9,2677735;
298,8544;12,211001;
298,9102;7,0023592;
298,9661;6,8098483;
299,0219;4,749211;
299,0777;7,4116441;
299,1335;9,43951;
299,1894;6,1758573;
299,2452;8,3186966;
299,3010;8,7352461;
299,3568;8,8222662;
299,4127;15,521821;
299,4685;20,037267;
299,5243;21,645452;
299,5802;18,140588;
299,6360;14,239952;
299,6918;7,9954291;
299,7476;7,5094517;
299,8035;8,6107159;
299,8593;13,438308;
299,9151;19,123981;
299,9709;28,608726;
300,0268;36,623573;
