;OOILIBS Data File;
Wavelength [nm];Counts;
293,8300;32,375;
293,8858;-2,5028014;
293,9416;-1,0529432;
293,9975;-3,8491831;
294,0533;-2,2573209;
294,1091;-1,5852518;
294,1649;-2,8092748;
294,2208;-3,125;
294,2766;-1,6490603;
294,3324;-1,2323901;
294,3883;-0,27769735;
294,4441;-0,8202481;
294,4999;-0,88456907;
294,5557;-1,4277626;
294,6116;-2,4900943;
294,6674;-0,30508777;
294,7232;-1,6105076;
294,7790;-1,1516409;
294,8349;-1,8574615;
294,8907;-3,2666406;
294,9465;-1,5039357;
295,0024;-1,8881375;
295,0582;-3,440589;
295,1140;-2,0440277;
295,1698;-0,12904411;
295,2257;1,2142843;
295,2815;13,713706;
295,3373;23,279697;
295,3931;27,37822;
295,4490;31,22696;
295,5048;28,79839;
295,5606;23,658914;
295,6164;19,875;
295,6723;19,911106;
295,7281;20,512017;
295,7839;21,072442;
295,8398;20,0081;
295,8956;18,55212;
295,9514;14,280643;
296,0072;16,60418;
296,0631;18,531422;
296,1189;13,91419;
296,1747;10,231032;
296,2305;7,2059626;
296,2864;7,5576566;
296,3422;12,146803;
296,3980;11,954593;
296,4538;16,807264;
296,5097;19,137495;
296,5655;25,416087;
296,6213;37,059699;
296,6772;39,131101;
296,7330;43,033726;
296,7888;39,725869;
296,8446;30,719493;
296,9005;25,580609;
296,9563;25,836763;
297,0121;26,549123;
297,0679;29,610694;
297,1238;24,584334;
297,1796;21,594565;
297,2354;23,677283;
297,2913;31,290852;
297,3471;39,543329;
297,4029;41,258795;
297,4587;31,263705;
297,5146;20,166283;
297,5704;12,563186;
297,6262;10,865648;
297,6820;10,749449;
297,7379;10,47394;
297,7937;10,671966;
297,8495;12,220189;
297,9053;11,896955;
297,9612;14,605847;
298,0170;15,81338;
298,0728;17,293883;
298,1287;24,367458;
298,1845;24,380766;
298,2403;30,028991;
298,2961;30,651717;
298,3520;31,926487;
298,4078;37,78214;
298,4636;39,158679;
298,5194;35,106779;
298,5753;30,802449;
298,6311;23,62783;
298,6869;16,66744;
298,7428;17,333009;
298,7986;16,594576;
298,8544;16,375;
298,9102;11,399866;
298,9661;8,9080316;
299,0219;9,3064488;
299,0777;9,4994253;
299,1335;12,154181;
299,1894;12,174149;
299,2452;11,296845;
299,3010;14,340867;
299,3568;19,6992;
299,4127;24,739281;
299,4685;32,394476;
299,5243;36,825744;
299,5802;32,262442;
299,6360;21,669837;
299,6918;12,403933;
299,7476;13,512782;
299,8035;15,516269;
299,8593;18,408638;
299,9151;27,30765;
299,9709;36,805989;
300,0268;52,347344;
300,0826;55,59054;
300,1384;51,796435;
300,1943;46,486981;
300,2501;35,536523;
300,3059;29,579765;
300,3617;25,386232;
300,4176;19,6734;
300,4734;15,85569;
300,5292;14,54777;
300,5850;12,464268;
300,6409;19,805198;
300,6967;26,979754;
300,7525;36,789366;
300,8083;52,554723;
300,8642;60,608484;
300,9200;58,772032;
300,9758;51,399464;
301,0317;44,794845;
301,0875;37,926868;
301,1433;35,961474;
301,1991;33,402568;
301,2550;27,768598;
301,3108;18,317885;
301,3666;14,33787;
301,4224;13,101901;
301,4783;18,172804;
301,5341;24,317502;
301,5899;25,652873;
301,6457;33,510935;
301,7016;40,722593;
301,7574;43,742051;
301,8132;44,786692;
301,8691;50,275582;
301,9249;63,085123;
301,9807;80,597557;
302,0365;95,981246;
302,0924;116,48806;
302,1482;126,6685;
302,2040;108,80884;
302,2598;72,579884;
302,3157;48,869897;
302,3715;41,672078;
302,4273;39,523906;
302,4832;41,747883;
302,5390;44,530023;
302,5948;50,760706;
302,6506;63,668438;
302,7065;59,509985;
302,7623;36,633231;
302,8181;22,109452;
302,8739;18,631636;
302,9298;18,566833;
302,9856;26,375383;
303,0414;36,909855;
303,0972;44,245214;
303,1531;51,911159;
303,2089;47,819174;
303,2647;36,093934;
303,3206;26,006969;
303,3764;17,4135;
303,4322;21,730725;
303,4880;27,063222;
303,5439;37,489061;
303,5997;47,491778;
303,6555;60,193107;
303,7113;68,364265;
303,7672;69,72969;
303,8230;68,098872;
303,8788;55,181382;
303,9347;41,138442;
303,9905;41,106089;
304,0463;44,295809;
304,1021;59,714781;
304,1580;75,593842;
304,2138;83,592105;
304,2696;86,910317;
304,3254;94,773321;
304,3813;103,41265;
304,4371;112,04811;
304,4929;127,62686;
304,5487;142,94391;
304,6046;136,40502;
304,6604;112,95633;
304,7162;98,433071;
304,7721;99,731346;
304,8279;93,684039;
304,8837;72,944226;
304,9395;49,410711;
304,9954;32,539493;
305,0512;27,124054;
305,1070;24,908277;
305,1628;26,607729;
305,2187;21,776066;
305,2745;22,899095;
305,3303;29,942131;
305,3862;39,904393;
305,4420;61,12722;
305,4978;83,43692;
305,5536;88,845465;
305,6095;72,570576;
305,6653;54,466662;
305,7211;53,104312;
305,7769;70,134213;
305,8328;81,875;
305,8886;76,911904;
305,9444;69,713814;
306,0002;67,056435;
306,0561;49,039918;
306,1119;33,129633;
306,1677;29,716679;
306,2236;39,364221;
306,2794;44,249685;
306,3352;44,636988;
306,3910;35,368565;
306,4469;27,342417;
306,5027;25,375;
306,5585;29,049047;
306,6143;45,155035;
306,6702;70,152998;
306,7260;84,299642;
306,7818;88,149442;
306,8376;75,866514;
306,8935;52,192446;
306,9493;41,034082;
307,0051;42,300403;
307,0610;57,753058;
307,1168;77,103313;
307,1726;82,909577;
307,2284;89,593508;
307,2843;106,94336;
307,3401;125,10066;
307,3959;116,33669;
307,4517;88,975123;
307,5076;67,317229;
307,5634;63,838046;
307,6192;79,168214;
307,6751;83,573781;
307,7309;61,330193;
307,7867;37,00579;
307,8425;28,631464;
307,8984;33,734585;
307,9542;40,431423;
308,0100;55,539664;
308,0658;67,420079;
308,1217;78,121418;
308,1775;95,584059;
308,2333;140,96398;
308,2891;176,41964;
308,3450;163,07538;
308,4008;121,59543;
308,4566;78,0246;
308,5125;51,001592;
308,5683;30,935944;
308,6241;19,866871;
308,6799;18,063617;
308,7358;19,412133;
308,7916;19,444884;
308,8474;25,975467;
308,9032;28,790867;
308,9591;27,129527;
309,0149;24,234686;
309,0707;30,095326;
309,1266;43,077794;
309,1824;74,190589;
309,2382;121,2492;
309,2940;181,67346;
309,3499;237,37418;
309,4057;211,4893;
309,4615;139,99572;
309,5173;74,269399;
309,5732;43,25432;
309,6290;31,002951;
309,6848;31,227658;
309,7406;37,404972;
309,7965;46,290354;
309,8523;37,790911;
309,9081;35,31477;
309,9640;47,226098;
310,0198;77,701715;
310,0756;116,01914;
310,1314;123,51021;
310,1873;91,377738;
310,2431;54,67962;
310,2989;34,16286;
310,3547;20,466788;
310,4106;19,836451;
310,4664;15,290726;
310,5222;13,950424;
310,5781;13,517172;
310,6339;12,574242;
310,6897;16,527295;
310,7455;16,580065;
310,8014;18,062798;
310,8572;19,014752;
310,9130;19,282953;
310,9688;17,09671;
311,0247;18,905287;
311,0805;24,248251;
311,1363;31,974132;
311,1921;31,344841;
311,2480;27,508608;
311,3038;23,671354;
311,3596;23,62439;
311,4155;25,894406;
311,4713;25,598672;
311,5271;21,446269;
311,5829;26,69365;
311,6388;28,207693;
311,6946;32,383534;
311,7504;29,353596;
311,8062;27,516916;
311,8621;24,369941;
311,9179;20,821821;
311,9737;24,930798;
312,0295;28,872318;
312,0854;34,878546;
312,1412;34,93026;
312,1970;24,53276;
312,2529;16,59319;
312,3087;15,833419;
312,3645;19,213305;
312,4203;18,563987;
312,4762;14,196479;
312,5320;18,21904;
312,5878;28,476899;
312,6436;37,950435;
312,6995;32,853355;
312,7553;25,611141;
312,8111;16,916554;
312,8670;13,875;
312,9228;12,71893;
312,9786;11,879735;
313,0344;12,550137;
313,0903;13,581209;
313,1461;13,779117;
313,2019;11,297225;
313,2577;13,203082;
313,3136;21,470623;
313,3694;23,579178;
313,4252;18,842684;
313,4810;19,370821;
313,5369;16,721285;
313,5927;17,753855;
313,6485;15,226951;
313,7044;11,765071;
313,7602;12,637182;
313,8160;11,459947;
313,8718;11,897675;
313,9277;12,301564;
313,9835;12,49849;
314,0393;14,199298;
314,0951;14,328687;
314,1510;14,875;
314,2068;15,534034;
314,2626;18,540977;
314,3185;22,400334;
314,3743;28,680826;
314,4301;24,480559;
314,4859;24,485308;
314,5418;19,675824;
314,5976;22,091292;
314,6534;16,43768;
314,7092;13,492965;
314,7651;16,681151;
314,8209;21,957143;
314,8767;37,725595;
