;OOILIBS Data File;
Wavelength [nm];Counts;
293,8300;31,550003;
293,8858;-2,2666991;
293,9416;0,4888683;
293,9975;-0,31775277;
294,0533;-2,4402357;
294,1091;-3,0294934;
294,1649;-1,1342718;
294,2208;-2,0953941;
294,2766;-2,9499969;
294,3324;-1,0120643;
294,3883;0,24211928;
294,4441;-3,0014435;
294,4999;-1,1180578;
294,5557;-1,9569035;
294,6116;-4,1801856;
294,6674;-0,27415494;
294,7232;-0,44516616;
294,7790;-1,5299196;
294,8349;-2,7175355;
294,8907;-1,4875361;
294,9465;-3,5868039;
295,0024;-1,9921144;
295,0582;-1,3188189;
295,1140;-2,5985803;
295,1698;-2,9540411;
295,2257;2,5857087;
295,2815;16,51944;
295,3373;25,985284;
295,3931;33,556444;
295,4490;36,364849;
295,5048;31,71533;
295,5606;25,3907;
295,6164;19,053995;
295,6723;19,947171;
295,7281;25,324038;
295,7839;27,050003;
295,8398;25,1866;
295,8956;20,215719;
295,9514;19,757527;
296,0072;18,088692;
296,0631;15,969793;
296,1189;15,142165;
296,1747;10,946893;
296,2305;8,9115093;
296,2864;12,203754;
296,3422;11,341282;
296,3980;12,430613;
296,4538;23,894211;
296,5097;26,338747;
296,5655;32,616909;
296,6213;41,658196;
296,6772;47,554884;
296,7330;48,010393;
296,7888;40,629408;
296,8446;35,296069;
296,9005;28,407952;
296,9563;26,304119;
297,0121;32,764028;
297,0679;34,111917;
297,1238;29,22517;
297,1796;30,610873;
297,2354;28,287263;
297,2913;35,465855;
297,3471;41,442771;
297,4029;47,057821;
297,4587;37,074997;
297,5146;22,341287;
297,5704;15,230119;
297,6262;12,955615;
297,6820;13,443333;
297,7379;15,316493;
297,7937;10,737867;
297,8495;9,2251379;
297,9053;14,114627;
297,9612;15,550003;
298,0170;16,865144;
298,0728;23,671459;
298,1287;27,065087;
298,1845;28,766505;
298,2403;36,703994;
298,2961;36,991796;
298,3520;38,273768;
298,4078;46,412859;
298,4636;44,454146;
298,5194;39,2915;
298,5753;34,687248;
298,6311;31,264828;
298,6869;23,422092;
298,7428;19,375197;
298,7986;22,464468;
298,8544;18,889438;
298,9102;10,092276;
298,9661;12,851814;
299,0219;10,118554;
299,0777;11,486641;
299,1335;14,631231;
299,1894;13,199577;
299,2452;12,971848;
299,3010;15,769283;
299,3568;19,744523;
299,4127;25,823804;
299,4685;36,339913;
299,5243;43,451491;
299,5802;33,898841;
299,6360;20,958388;
299,6918;13,07383;
299,7476;14,412221;
299,8035;14,245229;
299,8593;24,442969;
299,9151;27,774894;
299,9709;43,6999;
300,0268;57,495703;
300,0826;62,07121;
300,1384;61,735744;
300,1943;54,510248;
300,2501;42,123899;
300,3059;30,563618;
300,3617;28,113907;
300,4176;22,37553;
300,4734;17,011382;
300,5292;15,283739;
300,5850;17,717583;
300,6409;20,118289;
300,6967;29,153375;
300,7525;43,12299;
300,8083;57,087381;
300,8642;65,397288;
300,9200;61,640171;
300,9758;54,074467;
301,0317;48,233208;
301,0875;42,440045;
301,1433;36,982374;
301,1991;36,055517;
301,2550;30,167012;
301,3108;23,087577;
301,3666;13,942577;
301,4224;14,422284;
301,4783;18,93175;
301,5341;24,37751;
301,5899;30,457948;
301,6457;36,928648;
301,7016;43,915929;
301,7574;49,537284;
301,8132;50,961695;
301,8691;59,600924;
301,9249;71,294911;
301,9807;91,486651;
302,0365;110,65625;
302,0924;132,71959;
302,1482;147,42141;
302,2040;123,99414;
302,2598;82,278886;
302,3157;56,0449;
302,3715;45,579227;
302,4273;42,542391;
302,4832;44,673356;
302,5390;49,273804;
302,5948;58,199442;
302,6506;70,851704;
302,7065;68,560895;
302,7623;43,317847;
302,8181;25,784455;
302,8739;22,306639;
302,9298;22,053855;
302,9856;30,004967;
303,0414;42,952151;
303,0972;52,2266;
303,1531;55,934043;
303,2089;57,321277;
303,2647;45,217355;
303,3206;29,568175;
303,3764;25,054816;
303,4322;25,861262;
303,4880;31,497924;
303,5439;47,280699;
303,5997;62,166781;
303,6555;75,481738;
303,7113;86,496327;
303,7672;87,340622;
303,8230;83,123552;
303,8788;69,856385;
303,9347;53,784995;
303,9905;45,695389;
304,0463;51,378423;
304,1021;70,591798;
304,1580;80,320857;
304,2138;84,546713;
304,2696;94,295684;
304,3254;100,22631;
304,3813;115,58722;
304,4371;127,17984;
304,4929;140,42661;
304,5487;154,61891;
304,6046;152,42043;
304,6604;129,69552;
304,7162;106,04988;
304,7721;112,51409;
304,8279;109,12218;
304,8837;85,511535;
304,9395;58,437756;
304,9954;41,695438;
305,0512;32,123773;
305,1070;29,883195;
305,1628;27,659997;
305,2187;21,700736;
305,2745;23,182532;
305,3303;30,550501;
305,3862;41,054627;
305,4420;63,887702;
305,4978;88,434936;
305,5536;92,72283;
305,6095;78,53512;
305,6653;64,382692;
305,7211;63,142102;
305,7769;75,841543;
305,8328;95,973882;
305,8886;88,015222;
305,9444;76,888817;
306,0002;72,473351;
306,0561;52,768833;
306,1119;36,829173;
306,1677;33,422095;
306,2236;40,25905;
306,2794;45,924689;
306,3352;46,703136;
306,3910;35,897953;
306,4469;26,080216;
306,5027;26,820504;
306,5585;35,765503;
306,6143;50,866699;
306,6702;74,874293;
306,7260;94,440105;
306,7818;96,163211;
306,8376;82,960129;
306,8935;60,692834;
306,9493;41,06138;
307,0051;45,900808;
307,0610;63,412939;
307,1168;82,880676;
307,1726;94,947185;
307,2284;107,76642;
307,2843;130,4429;
307,3401;146,89299;
