;OOILIBS Data File;
Wavelength [nm];Counts;
293,8300;8,3500061;
293,8858;-0,18054354;
293,9416;-0,6499939;
293,9975;-0,46611599;
294,0533;-0,017672963;
294,1091;-1,3034112;
294,1649;-2,0185435;
294,2208;-1,3591996;
294,2766;-0,38796375;
294,3324;-0,042603825;
294,3883;-0,07364522;
294,4441;0,70620458;
294,4999;0,60957517;
294,5557;-1,2555191;
294,6116;-0,35235243;
294,6674;-2,4699061;
294,7232;-0,66931707;
294,7790;2,2168017;
294,8349;-0,61491683;
294,8907;-3,3436852;
294,9465;0,10787744;
295,0024;-0,6499939;
295,0582;-0,46558291;
295,1140;0,49858949;
295,1698;0,11011639;
295,2257;2,2071432;
295,2815;13,884808;
295,3373;20,724119;
295,3931;23,602421;
295,4490;23,942583;
295,5048;23,850006;
295,5606;17,719094;
295,6164;14,377952;
295,6723;17,922218;
295,7281;19,19255;
295,7839;20,845743;
295,8398;18,317605;
295,8956;16,187141;
295,9514;14,453768;
296,0072;14,080662;
296,0631;14,350006;
296,1189;13,165682;
296,1747;8,0756893;
296,2305;8,3805497;
296,2864;7,3789118;
296,3422;9,4130878;
296,3980;13,07143;
296,4538;15,816138;
296,5097;15,691249;
296,5655;22,739094;
296,6213;29,627054;
296,6772;31,729277;
296,7330;34,19128;
296,7888;31,737352;
296,8446;25,870679;
296,9005;21,555615;
296,9563;22,688827;
297,0121;26,305265;
297,0679;27,350006;
297,1238;23,025173;
297,1796;18,435513;
297,2354;19,231376;
297,2913;28,249029;
297,3471;26,130554;
297,4029;30,415926;
297,4587;25,430647;
297,5146;14,881441;
297,5704;10,637611;
297,6262;15,161229;
297,6820;12,188898;
297,7379;10,850006;
297,7937;10,850006;
297,8495;9,8449252;
297,9053;8,6109836;
297,9612;10,773142;
298,0170;13,103528;
298,0728;18,079618;
298,1287;18,940508;
298,1845;24,850006;
298,2403;25,080993;
298,2961;26,68493;
298,3520;28,28961;
298,4078;30,620003;
298,4636;34,147935;
298,5194;30,825711;
298,5753;24,99118;
298,6311;21,779656;
298,6869;18,924424;
298,7428;16,391997;
298,7986;15,850006;
298,8544;11,227156;
298,9102;10,850006;
298,9661;8,9491008;
299,0219;10,55566;
299,0777;11,433723;
299,1335;9,9895967;
299,1894;10,875645;
299,2452;11,850006;
299,3010;12,343179;
299,3568;15,391786;
299,4127;22,442061;
299,4685;28,182701;
299,5243;29,350006;
299,5802;24,663495;
299,6360;15,531295;
299,6918;11,860218;
299,7476;10,556679;
299,8035;13,561909;
299,8593;16,241443;
299,9151;23,928777;
299,9709;33,585091;
300,0268;41,728084;
300,0826;44,850006;
300,1384;42,825029;
300,1943;39,720667;
300,2501;30,148987;
300,3059;21,259537;
300,3617;22,030486;
300,4176;23,768624;
300,4734;12,330696;
300,5292;11,630489;
300,5850;14,182426;
300,6409;15,521479;
300,6967;23,928226;
300,7525;33,398568;
300,8083;45,636488;
300,8642;49,38892;
300,9200;46,474496;
300,9758;41,940102;
301,0317;35,888172;
301,0875;32,254571;
301,1433;30,022954;
301,1991;28,366547;
301,2550;23,967015;
301,3108;17,93217;
301,3666;15,027728;
301,4224;14,140766;
301,4783;15,033217;
301,5341;18,447521;
301,5899;23,905751;
301,6457;28,917973;
301,7016;36,715932;
301,7574;37,482956;
301,8132;37,261698;
301,8691;41,400442;
301,9249;48,687675;
301,9807;62,599324;
302,0365;77,087973;
302,0924;88,670599;
302,1482;100,21234;
302,2040;86,316195;
302,2598;59,165559;
302,3157;43,410736;
302,3715;34,87923;
302,4273;31,170653;
302,4832;34,472419;
302,5390;36,677517;
302,5948;43,641205;
302,6506;48,775644;
302,7065;47,388291;
302,7623;30,818403;
302,8181;17,256366;
302,8739;14,688061;
302,9298;18,225969;
302,9856;22,486649;
