;OOILIBS Data File;
Wavelength [nm];Counts;
293,8300;31,475006;
293,8858;-1,933345;
293,9416;-0,70839814;
293,9975;-1,749177;
294,0533;-1,1377923;
294,1091;-3,3318284;
294,1649;-3,2878946;
294,2208;-1,5947291;
294,2766;-1,7629638;
294,3324;-1,9712989;
294,3883;-1,2171101;
294,4441;-4,0764405;
294,4999;-2,5632702;
294,5557;1,2846753;
294,6116;-1,052824;
294,6674;-4,3088886;
294,7232;0,42669818;
294,7790;0,84180168;
294,8349;-1,4087632;
294,8907;-0,61458375;
294,9465;-1,7513799;
295,0024;-3,4144839;
295,0582;-2,0249939;
295,1140;-2,0249939;
295,1698;-2,2729718;
295,2257;1,9511889;
295,2815;18,871437;
295,3373;29,036175;
295,3931;32,227421;
295,4490;39,493773;
295,5048;34,821786;
295,5606;25,486052;
295,6164;22,959037;
295,6723;21,263855;
295,7281;25,180532;
295,7839;27,080121;
295,8398;27,611603;
295,8956;21,812141;
295,9514;20,078768;
296,0072;21,781563;
296,0631;21,577954;
296,1189;17,19852;
296,1747;13,673451;
296,2305;11,028981;
296,2864;10,475006;
296,3422;13,465268;
296,3980;12,134193;
296,4538;20,359855;
296,5097;28,29;
296,5655;34,923367;
296,6213;43,267898;
296,6772;50,105497;
296,7330;51,88775;
296,7888;44,825875;
296,8446;35,819499;
296,9005;31,975006;
296,9563;31,390301;
297,0121;35,537278;
297,0679;40,132136;
297,1238;35,077507;
297,1796;29,633701;
297,2354;31,277289;
297,2913;32,463786;
297,3471;46,036103;
297,4029;53,614665;
297,4587;38,075808;
297,5146;25,246592;
297,5704;16,491145;
297,6262;14,276877;
297,6820;12,813898;
297,7379;12,807457;
297,7937;13,975006;
297,8495;12,299871;
297,9053;11,475006;
297,9612;16,321277;
298,0170;14,406343;
298,0728;17,285734;
298,1287;27,520257;
298,1845;30,938625;
298,2403;36,359984;
298,2961;38,363365;
298,3520;39,586889;
298,4078;46,377856;
298,4636;49,744435;
298,5194;42,953141;
298,5753;35,325976;
298,6311;30,404656;
298,6869;25,411051;
298,7428;21,625395;
298,7986;22,255431;
298,8544;17,852156;
298,9102;11,504846;
298,9661;9,6401639;
299,0219;11,975006;
299,0777;12,599431;
299,1335;14,695825;
299,1894;15,026283;
299,2452;15,076703;
299,3010;16,173806;
299,3568;22,799207;
299,4127;30,703568;
299,4685;39,994482;
299,5243;45,596196;
299,5802;37,101983;
299,6360;22,072638;
299,6918;13,002237;
299,7476;17,233887;
299,8035;14,822619;
299,8593;22,543812;
299,9151;34,123981;
299,9709;45,945176;
300,0268;62,663539;
300,0826;68,717054;
300,1384;64,214335;
300,1943;54,957648;
300,2501;43,499072;
300,3059;35,283856;
300,3617;32,230622;
300,4176;27,246279;
300,4734;18,897765;
300,5292;15,348983;
300,5850;19,142586;
300,6409;21,060743;
300,6967;27,94709;
300,7525;45,62098;
300,8083;66,583557;
300,8642;71,936092;
300,9200;68,713225;
300,9758;59,745293;
301,0317;54,184929;
301,0875;45,093265;
301,1433;42,56148;
301,1991;41,486033;
301,2550;31,528184;
301,3108;24,000055;
301,3666;17,008173;
301,4224;13,475006;
301,4783;18,238501;
301,5341;26,917508;
301,5899;29,549333;
301,6457;39,800263;
301,7016;48,493339;
301,7574;50,721826;
301,8132;57,562079;
301,8691;61,675297;
301,9249;80,045988;
301,9807;95,206029;
302,0365;119,97219;
302,0924;143,91821;
302,1482;156,84188;
302,2040;136,64267;
302,2598;92,471444;
302,3157;58,887612;
302,3715;50,163316;
302,4273;45,936947;
302,4832;46,847889;
302,5390;53,767586;
302,5948;62,671698;
302,6506;77,735394;
302,7065;73,892829;
302,7623;47,032684;
302,8181;27,44391;
302,8739;21,677661;
302,9298;23,418765;
302,9856;32,475389;
303,0414;43,810129;
303,0972;54,602667;
303,1531;61,935106;
303,2089;60,389911;
303,2647;46,717094;
303,3206;31,458069;
303,3764;22,542381;
303,4322;29,475006;
303,4880;31,078817;
303,5439;43,078771;
303,5997;61,064573;
303,6555;78,202198;
303,7113;86,719639;
303,7672;88,684387;
303,8230;88,024039;
303,8788;77,473942;
303,9347;55,718959;
303,9905;49,243917;
304,0463;55,303426;
304,1021;71,260608;
304,1580;85,922994;
304,2138;93,169085;
304,2696;100,90514;
304,3254;110,6835;
304,3813;120,39707;
304,4371;132,82123;
304,4929;151,16449;
304,5487;168,10425;
304,6046;162,39961;
304,6604;137,31311;
304,7162;117,28886;
304,7721;118,88522;
304,8279;114,46169;
304,8837;92,728145;
304,9395;60,010718;
304,9954;41,671093;
305,0512;32,598587;
305,1070;28,741645;
305,1628;29,899553;
305,2187;26,625739;
305,2745;26,54127;
305,3303;30,875305;
305,3862;48,108099;
305,4420;65,466568;
305,4978;94,831903;
305,5536;101,7372;
305,6095;82,097453;
305,6653;61,084613;
305,7211;61,070844;
305,7769;82,194642;
305,8328;98,468779;
305,8886;92,966842;
305,9444;85,107849;
306,0002;77,382179;
306,0561;63,942246;
306,1119;40,082419;
306,1677;33,749602;
306,2236;42,964227;
306,2794;47,849692;
306,3352;49,801573;
306,3910;41,299759;
306,4469;30,879627;
306,5027;30,096792;
306,5585;37,588292;
306,6143;56,397267;
306,6702;83,114129;
306,7260;96,902788;
306,7818;108,12852;
306,8376;93,71493;
306,8935;65,149591;
306,9493;48,588578;
307,0051;48,253679;
307,0610;69,171114;
307,1168;91,004499;
307,1726;97,354443;
307,2284;104,58217;
307,2843;132,42227;
307,3401;151,72413;
307,3959;136,45706;
307,4517;108,93071;
307,5076;82,375717;
307,5634;79,376849;
307,6192;103,0215;
307,6751;106,61353;
307,7309;75,792391;
307,7867;47,127594;
307,8425;36,235779;
307,8984;39,578966;
307,9542;49,735711;
308,0100;68,117216;
308,0658;78,572339;
308,1217;90,78868;
308,1775;112,82586;
308,2333;163,78772;
308,2891;210,79562;
308,3450;195,97888;
308,4008;142,98283;
308,4566;93,658796;
308,5125;62,397679;
308,5683;35,599624;
308,6241;21,979071;
308,6799;22,597771;
308,7358;19,345299;
308,7916;23,596859;
308,8474;31,575473;
308,9032;33,017073;
308,9591;28,905891;
309,0149;25,975006;
309,0707;32,195332;
309,1266;51,764134;
309,1824;84,747985;
309,2382;141,93503;
309,2940;216,4465;
309,3499;287,28364;
309,4057;257,90371;
309,4615;172,65714;
309,5173;90,693684;
309,5732;52,394162;
309,6290;38,929182;
309,6848;39,327664;
309,7406;44,247485;
309,7965;51,027924;
309,8523;44,975006;
309,9081;45,562363;
309,9640;55,353398;
310,0198;92,062807;
310,0756;145,09176;
310,1314;156,17783;
310,1873;117,9292;
310,2431;72,308965;
310,2989;40,530356;
310,3547;27,168847;
310,4106;26,936457;
310,4664;19,278367;
310,5222;16,2767;
310,5781;16,626991;
310,6339;12,475006;
310,6897;15,51905;
310,7455;20,004962;
310,8014;19,849921;
310,8572;21,276245;
310,9130;19,935242;
310,9688;25,854218;
311,0247;24,995197;
311,0805;29,00236;
311,1363;38,173271;
311,1921;37,061855;
311,2480;32,084608;
311,3038;28,067715;
311,3596;23,891876;
311,4155;27,892431;
311,4713;26,869696;
311,5271;26,411532;
311,5829;32,293656;
311,6388;40,041545;
311,6946;40,401629;
311,7504;36,171496;
311,8062;31,758839;
311,8621;26,831284;
311,9179;23,304774;
311,9737;28,20539;
312,0295;33,469642;
312,0854;38,708503;
312,1412;39,475006;
312,1970;27,154156;
312,2529;20,186364;
312,3087;21,714611;
312,3645;22,475006;
312,4203;20,726989;
312,4762;17,403598;
312,5320;21,233036;
312,5878;32,777538;
312,6436;41,385633;
312,6995;39,680016;
312,7553;29,195626;
312,8111;20,01656;
312,8670;16,053073;
312,9228;13,470465;
312,9786;15,979741;
313,0344;15,855225;
313,0903;13,344661;
313,1461;14,801479;
313,2019;14,643896;
313,2577;14,940622;
313,3136;25,443132;
313,3694;24,541325;
313,4252;24,507322;
313,4810;22,472917;
313,5369;21,475006;
313,5927;19,864559;
313,6485;16,241441;
313,7044;14,235054;
313,7602;15,237188;
313,8160;13,588269;
313,8718;15,861631;
313,9277;13,475006;
313,9835;13,724402;
314,0393;15,353518;
314,0951;18,109225;
314,1510;19,753187;
314,2068;18,327421;
314,2626;21,664398;
314,3185;28,593483;
314,3743;33,829376;
314,4301;35,017582;
314,4859;28,627583;
314,5418;26,697956;
314,5976;22,930063;
314,6534;17,732841;
314,7092;18,651052;
314,7651;20,167034;
314,8209;23,261117;
314,8767;42,875764;
314,9325;46,956813;
314,9884;41,442848;
315,0442;31,379149;
315,1000;26,586088;
315,1559;31,298085;
315,2117;33,947608;
315,2675;33,475006;
315,3233;28,314711;
315,3792;26,475006;
315,4350;27,422868;
315,4908;26,581471;
315,5466;28,554578;
315,6025;29,504289;
315,6583;30,604358;
315,7141;35,694866;
315,7700;44,014322;
315,8258;43,063208;
315,8816;40,782086;
315,9374;36,867679;
315,9933;33,043068;
316,0491;42,645168;
316,1049;60,247871;
316,1607;79,774391;
316,2166;81,329007;
316,2724;69,997324;
316,3282;49,681879;
316,3840;32,372091;
316,4399;22,546461;
316,4957;19,526999;
316,5515;24,851976;
316,6074;24,805261;
316,6632;29,431821;
316,7190;28,600268;
316,7748;33,033772;
316,8307;35,598091;
316,8865;34,877346;
316,9423;34,475006;
316,9981;33,525281;
317,0540;22,445767;
317,1098;22,478523;
317,1656;25,252206;
317,2214;25,781726;
317,2773;26,962766;
317,3331;26,052415;
317,3889;24,832847;
317,4448;29,103579;
317,5006;35,121621;
317,5564;44,615948;
317,6122;58,052961;
317,6681;55,542218;
317,7239;44,267747;
317,7797;40,683118;
317,8355;53,252317;
317,8914;78,565903;
317,9472;97,874469;
318,0030;108,3973;
318,0589;97,540835;
318,1147;86,194813;
318,1705;70,349107;
318,2263;47,424264;
318,2822;36,985155;
318,3380;35,572142;
318,3938;34,975006;
318,4496;30,84237;
318,5055;32,791078;
318,5613;35,79515;
318,6171;32,639128;
318,6729;34,167146;
318,7288;36,559392;
318,7846;34,710539;
318,8404;31,051505;
318,8963;33,025963;
318,9521;39,870801;
319,0079;46,712506;
319,0637;39,265814;
319,1196;37,852819;
319,1754;47,245316;
319,2312;62,17434;
319,2870;78,52171;
319,3429;102,2201;
319,3987;117,7581;
319,4545;103,39912;
319,5104;65,5634;
319,5662;46,581069;
319,6220;45,754435;
319,6778;67,810765;
319,7337;108,18901;
319,7895;124,83717;
319,8453;101,04641;
319,9011;61,724131;
319,9570;50,802028;
320,0128;83,626483;
320,0686;113,85713;
320,1244;117,13383;
320,1803;92,392938;
320,2361;62,845932;
320,2919;45,258326;
320,3478;45,996815;
320,4036;45,719015;
320,4594;41,181388;
320,5152;44,44104;
320,5711;59,802257;
320,6269;69,986163;
320,6827;61,452057;
320,7385;50,565398;
320,7944;43,998439;
320,8502;45,304676;
320,9060;44,633113;
320,9618;47,666573;
321,0177;65,554134;
321,0735;93,716742;
321,1293;126,91462;
321,1852;158,58481;
321,2410;196,99741;
321,2968;224,65747;
321,3526;245,50287;
321,4085;232,10366;
321,4643;242,71303;
321,5201;212,49719;
321,5759;153,62819;
321,6318;112,56304;
321,6876;114,54501;
321,7434;119,1136;
321,7993;115,27128;
321,8551;99,736426;
321,9109;76,806337;
321,9667;91,130638;
322,0226;134,1088;
322,0784;152,74659;
322,1342;127,52075;
322,1900;118,9846;
322,2459;178,54239;
322,3017;214,07504;
322,3575;179,58091;
322,4133;135,7381;
322,4692;104,98137;
322,5250;127,47598;
322,5808;201,98682;
322,6367;289,32751;
322,6925;299,57241;
322,7483;226,00725;
322,8041;215,47501;
322,8600;353,49886;
322,9158;405,87996;
322,9716;292,86751;
323,0274;192,0058;
323,0833;190,32703;
323,1391;240,26514;
323,1949;237,78805;
323,2508;170,85464;
323,3066;121,9271;
323,3624;129,70533;
323,4182;171,33584;
323,4741;210,17582;
323,5299;234,28391;
323,5857;219,98937;
323,6415;199,863;
323,6974;255,90316;
323,7532;364,93129;
323,8090;326,05427;
323,8648;208,9293;
323,9207;142,54835;
323,9765;143,98019;
324,0323;167,12025;
324,0882;194,70388;
324,1440;192,66332;
324,1998;150,18167;
324,2556;103,9095;
324,3115;87,015038;
324,3673;104,11469;
324,4231;173,13612;
324,4789;236,65165;
324,5348;200,56253;
324,5906;107,69756;
324,6464;67,408987;
324,7023;62,333992;
324,7581;85,638724;
324,8139;127,20956;
324,8697;192,57944;
324,9256;273,15551;
324,9814;243,59126;
325,0372;131,96343;
325,0930;80,295327;
325,1489;88,887328;
325,2047;109,20551;
325,2605;109,15133;
325,3163;130,87933;
325,3722;181,08523;
325,4280;191,07519;
325,4838;160,16193;
325,5397;127,83163;
325,5955;102,91856;
325,6513;135,66004;
325,7071;179,53745;
325,7630;155,87316;
325,8188;103,25322;
325,8746;114,58066;
325,9304;161,24264;
325,9863;142,69288;
326,0421;113,56433;
326,0979;129,85136;
326,1537;129,72847;
326,2096;90,130364;
326,2654;58,68094;
326,3212;53,510788;
326,3771;41,418295;
326,4329;45,750339;
326,4887;76,483485;
326,5445;130,93144;
326,6004;163,09751;
326,6562;132,76493;
326,7120;88,61002;
326,7678;56,382569;
326,8237;57,356883;
326,8795;77,144002;
326,9353;84,040482;
326,9912;72,697452;
327,0470;52,918593;
327,1028;66,724018;
