;OOILIBS Data File;
Wavelength [nm];Counts;
293,8300;15,050003;
293,8858;-0,98054659;
293,9416;-1,3888622;
293,9975;-1,0419359;
294,0533;-1,3274373;
294,1091;-1,1034142;
294,1649;-0,16007321;
294,2208;0,32894396;
294,2766;-1,704007;
294,3324;0,21108816;
294,3883;-0,60518337;
294,4441;-1,6109473;
294,4999;0,40108038;
294,5557;-0,15414088;
294,6116;-2,1801856;
294,6674;-1,5220321;
294,7232;-0,95482774;
294,7790;-1,3167925;
294,8349;0,93377232;
294,8907;-0,039586799;
294,9465;-0,93425428;
295,0024;-0,77109442;
295,0582;1,9435372;
295,1140;-0,38238587;
295,1698;-0,702019;
295,2257;0,94881017;
295,2815;5,7885419;
295,3373;10,111172;
295,3931;15,554834;
295,4490;13,79062;
295,5048;9,533877;
295,5606;8,5783945;
295,6164;9,5380262;
295,6723;8,2305337;
295,7281;10,481494;
295,7839;9,6465929;
295,8398;8,0500031;
295,8956;8,7128684;
295,9514;9,8518842;
296,0072;8,6273802;
296,0631;4,6529513;
296,1189;4,4186508;
296,1747;6,0500031;
296,2305;2,796447;
296,2864;5,4921916;
296,3422;6,9771833;
296,3980;4,2887829;
296,4538;8,9822673;
296,5097;12,550003;
296,5655;12,905638;
296,6213;15,919401;
296,6772;18,554884;
296,7330;21,708729;
296,7888;20,897646;
296,8446;16,796069;
296,9005;13,791125;
296,9563;12,08824;
297,0121;13,657015;
297,0679;17,207133;
297,1238;10,579837;
297,1796;10,25725;
297,2354;11,470916;
297,2913;13,033174;
297,3471;14,274442;
297,4029;17,863969;
297,4587;14,82258;
297,5146;7,4200785;
297,5704;5,9021655;
297,6262;3,153744;
297,6820;2,5500031;
297,7379;3,6159634;
297,7937;3,0462104;
297,8495;-0,2951858;
297,9053;1,5060932;
297,9612;5,3769946;
298,0170;3,8581008;
298,0728;9,2255369;
298,1287;10,08017;
298,1845;12,218592;
298,2403;14,588972;
298,2961;17,550003;
298,3520;16,963864;
298,4078;17,364284;
298,4636;18,819432;
298,5194;13,535426;
298,5753;10,550003;
298,6311;11,513884;
298,6869;8,8424432;
298,7428;8,3332068;
298,7986;10,684044;
298,8544;7,8140082;
298,9102;4,5649229;
298,9661;5,9178768;
299,0219;4,3927592;
299,0777;6,7581448;
299,1335;7,9687747;
299,1894;8,8747903;
299,2452;7,7063126;
299,3010;8,029523;
299,3568;10,962103;
299,4127;13,959524;
299,4685;14,695916;
299,5243;18,451491;
299,5802;14,011399;
299,6360;7,0420451;
299,6918;6,051705;
299,7476;8,7055475;
299,8035;4,6857129;
299,8593;9,834406;
299,9151;14,693268;
299,9709;17,206726;
300,0268;23,211892;
300,0826;27,565908;
300,1384;25,289332;
300,1943;22,224135;
300,2501;17,699493;
300,3059;11,657492;
300,3617;10,550003;
300,4176;9,6042576;
300,4734;9,9341412;
300,5292;4,2369915;
300,5850;6,5527421;
300,6409;9,0500031;
300,6967;11,259511;
300,7525;18,001152;
300,8083;22,211037;
300,8642;23,011089;
300,9200;23,777461;
300,9758;22,828643;
301,0317;17,851528;
301,0875;16,96909;
301,1433;12,025611;
301,1991;10,56103;
301,2550;8,0180872;
301,3108;7,5500031;
301,3666;6,4757436;
301,4224;4,0038049;
301,4783;7,7332144;
301,5341;8,0500031;
301,5899;9,6057482;
301,6457;13,428648;
301,7016;16,056114;
301,7574;17,670233;
301,8132;20,931847;
301,8691;24,700342;
301,9249;28,957242;
301,9807;37,504946;
302,0365;46,006096;
302,0924;50,191457;
302,1482;53,696751;
302,2040;47,389714;
302,2598;31,926444;
