;OOILIBS Data File;
Wavelength [nm];Counts;
293,8300;16,100006;
293,8858;-4,9722989;
293,9416;1,4166019;
293,9975;-0,083871806;
294,0533;-0,8999939;
294,1091;-0,8999939;
294,1649;-1,2685435;
294,2208;-1,8999939;
294,2766;-1,6540039;
294,3324;-0,84629886;
294,3883;-1,631529;
294,4441;-2,0609443;
294,4999;0,3212989;
294,5557;-2,1110444;
294,6116;0,1278362;
294,6674;-0,32795879;
294,7232;0,59034452;
294,7790;-0,74014859;
294,8349;1,8675446;
294,8907;-0,52712285;
294,9465;-2,0682862;
295,0024;0,87898608;
295,0582;-0,60911702;
295,1140;0,73522825;
295,1698;0,59191788;
295,2257;1,8797675;
295,2815;4,5923653;
295,3373;7,8176467;
295,3931;11,978629;
295,4490;12,692583;
295,5048;12,600006;
295,5606;11,18518;
295,6164;6,1199676;
295,6723;8,5639;
295,7281;7,9629887;
295,7839;7,2008586;
295,8398;8,132407;
295,8956;8,605708;
295,9514;6,9962439;
296,0072;8,2919732;
296,0631;8,8366378;
296,1189;8,3039251;
296,1747;4,8120701;
296,2305;3,4615123;
296,2864;3,994225;
296,3422;3,2456455;
296,3980;3,5602095;
296,4538;10,01195;
296,5097;14,073757;
296,5655;14,252004;
296,6213;19,377054;
296,6772;20,725616;
296,7330;21,576183;
296,7888;21,447649;
296,8446;18,923826;
296,9005;14,993468;
296,9563;13,854122;
297,0121;14,77413;
297,0679;15,678571;
297,1238;12,561507;
297,1796;12,880441;
297,2354;11,718636;
297,2913;15,060737;
297,3471;22,875568;
297,4029;18,665926;
297,4587;14,448391;
297,5146;9,2102326;
297,5704;6,624215;
297,6262;4,1943946;
297,6820;4,6355628;
297,7379;3,833516;
297,7937;2,998489;
297,8495;4,610168;
297,9053;5,9695174;
297,9612;4,8884383;
298,0170;5,476767;
298,0728;9,8566565;
298,1287;10,130174;
298,1845;12,563625;
298,2403;17,446015;
298,2961;16,376723;
298,3520;17,944562;
298,4078;23,055722;
298,4636;21,018399;
298,5194;17,841503;
298,5753;14,954904;
298,6311;14,100006;
298,6869;10,892446;
298,7428;9,991608;
298,7986;10,100006;
298,8544;6,4017263;
298,9102;4,607466;
298,9661;9,9348483;
299,0219;7,25725;
299,0777;5,9325732;
299,1335;8,4020533;
299,1894;5,8991549;
299,2452;5,6546192;
299,3010;6,8534194;
299,3568;8,0121063;
299,4127;11,32778;
299,4685;17,911308;
299,5243;19,709857;
299,5802;16,617681;
299,6360;9,6298976;
299,6918;8,1034099;
299,7476;6,6000061;
299,8035;7,0944471;
299,8593;10,849241;
299,9151;14,889391;
299,9709;21,874272;
300,0268;28,816195;
300,0826;29,100006;
300,1384;27,942876;
300,1943;23,841327;
300,2501;19,924751;
300,3059;15,106814;
300,3617;14,536102;
300,4176;13,181388;
300,4734;6,6289716;
300,5292;8,0065119;
300,5850;7,0162163;
300,6409;7,3238305;
300,6967;12,125158;
300,7525;18,96581;
300,8083;22,028833;
300,8642;26,064033;
300,9200;25,531361;
300,9758;21,190102;
301,0317;22,008404;
301,0875;17,570961;
301,1433;12,48914;
301,1991;10,616547;
301,2550;7,2915014;
301,3108;9,1250554;
301,3666;3,5297099;
301,4224;5,3907665;
301,4783;6,4664288;
301,5341;7,5425083;
301,5899;10,174333;
301,6457;11,505345;
301,7016;14,118339;
301,7574;18,587287;
301,8132;21,246774;
301,8691;23,850249;
301,9249;36,310129;
301,9807;42,447904;
302,0365;48,860631;
302,0924;52,882914;
302,1482;59,609085;
302,2040;48,811777;
302,2598;32,891559;
302,3157;23,017715;
302,3715;17,926308;
302,4273;16,100006;
302,4832;22,471007;
302,5390;22,117472;
302,5948;27,938459;
302,6506;35,484331;
302,7065;32,076245;
302,7623;15,689287;
302,8181;9,2250941;
302,8739;5,9513334;
302,9298;7,4798204;
302,9856;11,281877;
303,0414;16,101348;
303,0972;21,131921;
303,1531;21,753996;
303,2089;22,756917;
303,2647;17,571578;
303,3206;11,9511;
303,3764;9,6144436;
303,4322;11,188937;
303,4880;12,690884;
303,5439;16,843571;
303,5997;22,079597;
303,6555;28,168145;
303,7113;33,823168;
303,7672;35,100006;
303,8230;33,149039;
303,8788;22,233516;
303,9347;16,571556;
303,9905;13,422699;
304,0463;13,100006;
304,1021;22,654186;
304,1580;24,344854;
304,2138;30,51119;
304,2696;35,003461;
304,3254;31,701685;
304,3813;25,83118;
304,4371;23,143284;
304,4929;25,162717;
304,5487;26,806897;
304,6046;25,916259;
304,6604;27,779035;
304,7162;25,716271;
304,7721;28,333443;
304,8279;33,770994;
304,8837;26,190214;
304,9395;18,469903;
304,9954;11,998702;
305,0512;7,1737763;
305,1070;6,2663907;
305,1628;6,7509122;
305,2187;6,2998728;
305,2745;7,7747044;
305,3303;8,1000061;
305,3862;10,476162;
305,4420;11,236773;
305,4978;15,512975;
305,5536;18,90355;
305,6095;19,670159;
305,6653;20,823088;
305,7211;26,192105;
305,7769;34,57493;
305,8328;44,469558;
305,8886;40,364376;
305,9444;34,820906;
