;OOILIBS Data File;
Wavelength [nm];Counts;
293,8300;38,300003;
293,8858;-3,6694473;
293,9416;-3,1388622;
293,9975;-2,6999969;
294,0533;-2,8225566;
294,1091;-3,1999969;
294,1649;-2,6471725;
294,2208;-0,8394674;
294,2766;-1,9139065;
294,3324;-3,3694544;
294,3883;0,070957021;
294,4441;-0,91239391;
294,4999;-1,0893506;
294,5557;-0,29861564;
294,6116;-1,9301856;
294,6674;-1,2720321;
294,7232;-3,1806738;
294,7790;-1,6999969;
294,8349;-1,7581123;
294,8907;-2,1999969;
294,9465;-2,0789326;
295,0024;-1,8526245;
295,0582;-2,5688189;
295,1140;-1,4704412;
295,1698;-0,68786461;
295,2257;1,4369016;
295,2815;18,319524;
295,3373;31,265868;
295,3931;39,681847;
295,4490;45,466809;
295,5048;37,949204;
295,5606;31,612309;
295,6164;22,296011;
295,6723;22,305489;
295,7281;28,662986;
295,7839;28,304266;
295,8398;28,5697;
295,8956;22,639989;
295,9514;19,309409;
296,0072;21,490494;
296,0631;22,639583;
296,1189;15,95095;
296,1747;13,300003;
296,2305;11,492472;
296,2864;11,194222;
296,3422;12,581544;
296,3980;17,86224;
296,4538;24,711947;
296,5097;32,114997;
296,5655;39,933815;
296,6213;55,522955;
296,6772;55,430494;
296,7330;60,387259;
296,7888;59,574694;
296,8446;46,939775;
296,9005;36,952343;
296,9563;35,761766;
297,0121;40,384645;
297,0679;44,816654;
297,1238;40,295671;
297,1796;33,678263;
297,2354;32,339546;
297,2913;43,176586;
297,3471;58,940277;
297,4029;59,81173;
297,4587;45,845157;
297,5146;27,402268;
297,5704;15,316142;
297,6262;14,290651;
297,6820;15,33556;
297,7379;13,734043;
297,7937;13,40152;
297,8495;11,454814;
297,9053;9,1914693;
297,9612;14,453986;
298,0170;17,115144;
298,0728;22,975537;
298,1287;29,428215;
298,1845;38,179328;
298,2403;42,992962;
298,2961;47,581493;
298,3520;53,670303;
298,4078;61,255719;
298,4636;60,732646;
298,5194;57,029352;
298,5753;47,360769;
298,6311;38,480596;
298,6869;30,097674;
298,7428;24,667188;
298,7986;23,373195;
298,8544;17,752583;
298,9102;16,80249;
298,9661;9,8990977;
299,0219;11,574208;
299,0777;14,444783;
299,1335;17,96246;
299,1894;15,449577;
299,2452;17,120152;
299,3010;19,560243;
299,3568;25,295664;
299,4127;37,301578;
299,4685;50,50626;
299,5243;54,690152;
299,5802;45,42698;
299,6360;28,086882;
299,6918;16,335743;
299,7476;18,541122;
299,8035;22,294444;
299,8593;27,119574;
299,9151;38,241219;
299,9709;56,309354;
300,0268;74,853292;
300,0826;81,284098;
300,1384;79,510721;
300,1943;69,523966;
300,2501;52,698644;
300,3059;39,51498;
300,3617;34,683427;
300,4176;31,935639;
300,4734;22,155176;
300,5292;15,17398;
300,5850;19,554112;
300,6409;25,350839;
300,6967;34,798621;
300,7525;48,129024;
300,8083;65,301794;
300,8642;76,302944;
300,9200;72,855848;
300,9758;63,980195;
301,0317;58,364887;
301,0875;48,080088;
301,1433;33,967404;
301,1991;32,800003;
301,2550;25,640424;
301,3108;22,185774;
301,3666;14,762873;
301,4224;13,236144;
301,4783;17,231384;
301,5341;23,62751;
301,5899;27,37433;
301,6457;33,759962;
301,7016;43,17204;
301,7574;48,913874;
301,8132;59,680612;
301,8691;67,650633;
301,9249;86,370985;
301,9807;111,13807;
302,0365;138,44875;
302,0924;168,19597;
302,1482;184,53374;
302,2040;154,26473;
