;OOILIBS Data File;
Wavelength [nm];Counts;
293,8300;35,899994;
293,8858;-3,1000061;
293,9416;-2,6109281;
293,9975;-0,20327356;
294,0533;-4,9774464;
294,1091;-3,0658336;
294,1649;-0,33710539;
294,2208;-2,2454033;
294,2766;-1,1320865;
294,3324;0,069451343;
294,3883;-2,4473087;
294,4441;-1,904758;
294,4999;-2,9510834;
294,5557;-1,5930995;
294,6116;-4,1278362;
294,6674;1,8957481;
294,7232;-1,0661906;
294,7790;-2,9934426;
294,8349;-0,86754463;
294,8907;0,093685241;
294,9465;-3,7210704;
295,0024;-3,3368686;
295,0582;-1,4155951;
295,1140;-2,6133673;
295,1698;-2,3682046;
295,2257;1,5785624;
295,2815;14,7387;
295,3373;31,175253;
295,3931;38,027812;
295,4490;42,159377;
295,5048;38,944352;
295,5606;28,967822;
295,6164;25,892009;
295,6723;25,333267;
295,7281;31,242537;
295,7839;32,593174;
295,8398;27,536591;
295,8956;23,560008;
295,9514;22,531973;
296,0072;20,398518;
296,0631;23,373257;
296,1189;18,458779;
296,1747;11,125677;
296,2305;12,515056;
296,2864;11,140462;
296,3422;11,681535;
296,3980;14,661214;
296,4538;25,257749;
296,5097;32,714988;
296,5655;40,355988;
296,6213;55,915838;
296,6772;61,907315;
296,7330;65,606366;
296,7888;62,555577;
296,8446;48,679538;
296,9005;34,141116;
296,9563;40,0394;
297,0121;44,72587;
297,0679;47,057123;
297,1238;42,788828;
297,1796;32,436949;
297,2354;35,044104;
297,2913;43,804626;
297,3471;57,320816;
297,4029;62,41563;
297,4587;44,465308;
297,5146;26,3409;
297,5704;18,620458;
297,6262;11,899994;
297,6820;12,132216;
297,7379;12,133504;
297,7937;12,200752;
297,8495;15,08021;
297,9053;13,443904;
297,9612;13,207706;
298,0170;20,414081;
298,0728;24,710722;
298,1287;30,520664;
298,1845;38,863613;
298,2403;44,207976;
298,2961;45,788352;
298,3520;49,942572;
298,4078;63,077131;
298,4636;64,087815;
298,5194;56,380558;
298,5753;47,819586;
298,6311;38,295412;
298,6869;30,623247;
298,7428;28,508392;
298,7986;24,55872;
298,8544;20,201714;
298,9102;16,914914;
298,9661;15,800899;
299,0219;14,674199;
299,0777;16,712207;
299,1335;18,597947;
299,1894;19,173504;
299,2452;18,16553;
299,3010;22,612447;
299,3568;26,812094;
299,4127;35,538076;
299,4685;51,584859;
299,5243;57,180291;
299,5802;41,636274;
299,6360;29,194831;
299,6918;18,434032;
299,7476;16,572222;
299,8035;19,253166;
299,8593;24,075833;
299,9151;38,34121;
299,9709;58,026888;
300,0268;80,534227;
300,0826;86,110232;
300,1384;79,50717;
300,1943;73,163711;
300,2501;53,497955;
300,3059;40,510886;
300,3617;40,644378;
300,4176;33,806903;
300,4734;20,380684;
300,5292;19,213005;
300,5850;17,735153;
300,6409;22,295291;
300,6967;35,345544;
300,7525;50,92413;
300,8083;69,795026;
300,8642;80,516736;
300,9200;78,831349;
300,9758;70,358825;
301,0317;63,201519;
301,0875;53,099166;
301,1433;38,153869;
301,1991;33,438589;
301,2550;31,665928;
301,3108;19,994682;
301,3666;14,50742;
301,4224;15,917655;
301,4783;18,583205;
301,5341;23,325016;
301,5899;32,011484;
301,6457;40,251945;
301,7016;50,607401;
301,7574;55,393634;
301,8132;61,251991;
301,8691;72,751109;
301,9249;90,505761;
301,9807;120,12255;
302,0365;137,26546;
302,0924;172,93741;
302,1482;192,78048;
302,2040;159,82208;
302,2598;105,73776;
302,3157;68,21385;
302,3715;51,240908;
302,4273;46,38477;
302,4832;55,143878;
302,5390;63,778818;
302,5948;80,293379;
302,6506;93,701694;
302,7065;85,069632;
302,7623;54,527728;
302,8181;34,712714;
302,8739;24,669903;
302,9298;22,595678;
302,9856;34,718698;
303,0414;48,501873;
303,0972;58,608506;
303,1531;65,360093;
303,2089;66,12872;
303,2647;50,165236;
303,3206;37,1724;
303,3764;27,375931;
303,4322;25,65591;
303,4880;34,581749;
303,5439;45,001185;
303,5997;64,982758;
303,6555;83,945356;
303,7113;99,02654;
303,7672;104,6151;
303,8230;97,89677;
303,8788;78,321269;
303,9347;52,521187;
303,9905;43,437815;
304,0463;51,662422;
304,1021;69,050147;
304,1580;82,025116;
304,2138;93,594072;
304,2696;98,04913;
304,3254;98,589826;
304,3813;100,28441;
304,4371;100,5418;
304,4929;108,46372;
304,5487;120,61546;
304,6046;121,42708;
304,6604;105,21099;
304,7162;94,795294;
304,7721;114,66934;
304,8279;119,35374;
304,8837;94,458728;
304,9395;61,811554;
304,9954;34,678327;
305,0512;27,174899;
305,1070;25,033525;
305,1628;23,399994;
305,2187;21,650327;
305,2745;24,032523;
305,3303;29,667026;
305,3862;34,677075;
305,4420;50,58383;
305,4978;70,666936;
305,5536;75,084635;
305,6095;67,464194;
305,6653;59,91794;
305,7211;67,862357;
305,7769;99,554977;
305,8328;119,64532;
305,8886;108,78324;
305,9444;102,60597;
306,0002;94,488602;
306,0561;65,924326;
306,1119;40,007406;
306,1677;32,601246;
306,2236;34,009907;
306,2794;35,927422;
306,3352;38,030988;
306,3910;30,416755;
306,4469;24,118596;
306,5027;28,116638;
306,5585;33,706637;
306,6143;47,21669;
306,6702;74,400242;
306,7260;94,290096;
306,7818;109,69845;
306,8376;102,89045;
306,8935;72,526948;
306,9493;45,990812;
307,0051;42,395065;
307,0610;55,929757;
307,1168;70,020049;
307,1726;83,056049;
307,2284;107,22149;
307,2843;136,68498;
307,3401;155,64912;
307,3959;135,13774;
307,4517;102,95121;
307,5076;87,374727;
307,5634;98,216386;
307,6192;121,97986;
307,6751;127,35781;
307,7309;95,441762;
307,7867;57,107077;
307,8425;42,538999;
307,8984;51,363539;
307,9542;55,252135;
308,0100;59,982326;
308,0658;67,751423;
308,1217;90,422598;
308,1775;116,92255;
308,2333;185,57082;
308,2891;240,76525;
308,3450;226,97001;
308,4008;170,15831;
308,4566;117,01861;
308,5125;73,299363;
308,5683;44,937892;
308,6241;28,877638;
308,6799;23,635766;
308,7358;26,64058;
308,7916;33,487793;
308,8474;44,917517;
308,9032;47,713094;
308,9591;43,879974;
309,0149;37,878265;
309,0707;43,218024;
309,1266;67,305581;
309,1824;104,8321;
309,2382;171,55913;
309,2940;274,77307;
309,3499;343,66058;
309,4057;308,98062;
309,4615;213,33084;
309,5173;111,77402;
309,5732;61,218681;
309,6290;42,375495;
309,6848;43,370205;
309,7406;37,355035;
309,7965;40,556085;
309,8523;42,387981;
309,9081;43,485857;
309,9640;63,731228;
310,0198;111,63998;
310,0756;164,81784;
310,1314;174,61972;
310,1873;128,62325;
310,2431;70,08414;
310,2989;39,868101;
310,3547;27,660159;
310,4106;22,073464;
310,4664;19,731446;
310,5222;16,5983;
310,5781;14,899994;
310,6339;15,749615;
310,6897;19,139448;
310,7455;16,630387;
310,8014;14,900335;
310,8572;17,840985;
310,9130;17,176135;
310,9688;15,988678;
311,0247;23,913455;
311,0805;26,002729;
311,1363;27,593919;
311,1921;29,075504;
311,2480;24,924;
311,3038;23,399994;
311,3596;23,108429;
311,4155;23,239796;
311,4713;17,965701;
311,5271;19,019148;
311,5829;24,733756;
311,6388;27,232687;
311,6946;32,882926;
311,7504;36,466133;
311,8062;28,9982;
311,8621;24,038657;
311,9179;23,740458;
311,9737;26,630378;
312,0295;35,263596;
312,0854;36,553294;
312,1412;34,510514;
312,1970;25,707484;
312,2529;21,118184;
312,3087;18,920784;
312,3645;17,230842;
312,4203;17,118496;
312,4762;17,667846;
312,5320;22,02362;
312,5878;35,403159;
312,6436;46,059227;
312,6995;41,810013;
312,7553;33,949881;
312,8111;19,376055;
312,8670;16,130477;
