;OOILIBS Data File;
Wavelength [nm];Counts;
293,8300;40,350006;
293,8858;-1,3027421;
293,9416;-3,8333981;
293,9975;-4,5064212;
294,0533;-1,8951133;
294,1091;-2,8034112;
294,1649;-3,7028184;
294,2208;-2,2835376;
294,2766;-0,37994366;
294,3324;-2,757384;
294,3883;-2,7263426;
294,4441;-2,8280931;
294,4999;-2,7797784;
294,5557;2,1665818;
294,6116;-0,11037115;
294,6674;-2,9699061;
294,7232;-3,1499939;
294,7790;-0,25655743;
294,8349;-2,4986861;
294,8907;-4,4332751;
294,9465;-1,0289296;
295,0024;-1,5657589;
295,0582;-2,543528;
295,1140;-0,43379943;
295,1698;-0,39797184;
295,2257;2,1476203;
295,2815;19,927251;
295,3373;34,502928;
295,3931;40,604032;
295,4490;48,368773;
295,5048;45,015333;
295,5606;34,446226;
295,6164;23,417875;
295,6723;32,211067;
295,7281;36,164919;
295,7839;32,455121;
295,8398;33,519004;
295,8956;27,695694;
295,9514;22,755649;
296,0072;24,156563;
296,0631;26,586638;
296,1189;22,204873;
296,1747;17,377245;
296,2305;15,626994;
296,2864;12,196255;
296,3422;13,485908;
296,3980;19,83265;
296,4538;25,28227;
296,5097;31,18999;
296,5655;47,772548;
296,6213;58,534705;
296,6772;61,862208;
296,7330;69,667457;
296,7888;64,78028;
296,8446;49,313598;
296,9005;39,796737;
296,9563;40,98118;
297,0121;47,738154;
297,0679;52,507136;
297,1238;46,273007;
297,1796;36,240585;
297,2354;40,835943;
297,2913;46,788298;
297,3471;58,326938;
297,4029;65,109778;
297,4587;51,935481;
297,5146;28,802649;
297,5704;15,686029;
297,6262;15,944395;
297,6820;13,598903;
297,7379;11,981927;
297,7937;15,353799;
297,8495;14,339844;
297,9053;12,610984;
297,9612;18,003989;
298,0170;20,665147;
298,0728;26,052579;
298,1287;33,978218;
298,1845;42,855772;
298,2403;48,042024;
298,2961;48,359552;
298,3520;58,573771;
298,4078;67,075718;
298,4636;67,48472;
298,5194;64,591503;
298,5753;53,689191;
298,6311;42,351893;
298,6869;36,998842;
298,7428;30,759182;
298,7986;28,069582;
298,8544;24,151726;
298,9102;20,367413;
298,9661;11,64729;
299,0219;16,398416;
299,0777;19,954077;
299,1335;19,652053;
299,1894;18,200432;
299,2452;19,060929;
299,3010;20,829526;
299,3568;28,563247;
299,4127;42,261102;
299,4685;56,556263;
299,5243;62,690899;
299,5802;51,846751;
299,6360;32,750434;
299,6918;17,39766;
299,7476;19,660016;
299,8035;23,920641;
299,8593;27,45398;
299,9151;44,150812;
299,9709;64,359357;
300,0268;82,470917;
300,0826;90,102657;
300,1384;88,035747;
300,1943;76,573969;
300,2501;57,935934;
300,3059;47,658856;
300,3617;41,116854;
300,4176;31,365424;
300,4734;25,243799;
300,5292;19,756512;
300,5850;20,023064;
300,6409;28,745304;
300,6967;39,74387;
300,7525;53,020406;
300,8083;76,406073;
300,8642;84,69435;
300,9200;78,247038;
300,9758;72,59583;
301,0317;66,388172;
301,0875;51,43922;
301,1433;38,801221;
301,1991;38,838979;
301,2550;29,115941;
301,3108;18,419645;
301,3666;18,20545;
301,4224;16,286147;
301,4783;19,731753;
301,5341;26,947521;
301,5899;31,368588;
301,6457;41,067255;
301,7016;54,392784;
301,7574;56,356366;
301,8132;63,672155;
301,8691;78,851461;
301,9249;92,071724;
301,9807;116,92893;
302,0365;148,82453;
302,0924;181,47235;
302,1482;201,01037;
302,2040;170,91032;
302,2598;111,35755;
302,3157;65,856258;
302,3715;50,755851;
302,4273;50,685877;
