;OOILIBS Data File;
Wavelength [nm];Counts;
293,8300;32,925003;
293,8858;-2,0444473;
293,9416;-1,7584012;
293,9975;-2,7991801;
294,0533;-1,3298776;
294,1091;-1,4955005;
294,1649;-2,6536228;
294,2208;-1,2901293;
294,2766;-1,5749969;
294,3324;-0,19075936;
294,3883;-1,5380671;
294,4441;-1,3797488;
294,4999;-1,3154279;
294,5557;-1,1736156;
294,6116;-1,0749969;
294,6674;-1,5389794;
294,7232;-2,5653354;
294,7790;-1,7082014;
294,8349;-3,7844201;
294,8907;-1,6645868;
294,9465;-1,7118039;
295,0024;-0,57499695;
295,0582;-0,20617498;
295,1140;0,20880859;
295,1698;-0,32297489;
295,2257;2,7821401;
295,2815;20,379158;
295,3373;34,577925;
295,3931;39,928224;
295,4490;44,999232;
295,5048;41,969361;
295,5606;30,578006;
295,6164;25,421011;
295,6723;25,249958;
295,7281;29,767546;
295,7839;31,42074;
295,8398;28,626402;
295,8956;25,430705;
295,9514;23,028765;
296,0072;23,578282;
296,0631;23,344793;
296,1189;19,556355;
296,1747;14,637067;
296,2305;13,286509;
296,2864;12,636565;
296,3422;12,425003;
296,3980;19,328053;
296,4538;25,350494;
296,5097;32,528741;
296,5655;44,906817;
296,6213;55,740304;
296,6772;57,060374;
296,7330;63,107552;
296,7888;57,815575;
296,8446;45,691742;
296,9005;37,336221;
296,9563;37,263824;
297,0121;43,487275;
297,0679;44,486917;
297,1238;40,386504;
297,1796;31,742393;
297,2354;32,727286;
297,2913;43,307196;
297,3471;53,233606;
297,4029;57,184775;
297,4587;44,586285;
297,5146;25,43674;
297,5704;16,597049;
297,6262;15,726874;
297,6820;15,657225;
297,7379;15,125533;
297,7937;12,319693;
297,8495;13,940246;
297,9053;13,577447;
297,9612;14,136571;
298,0170;22,754232;
298,0728;24,870925;
298,1287;28,060756;
298,1845;37,093592;
298,2403;39,694958;
298,2961;44,706493;
298,3520;49,916094;
298,4078;59,372137;
298,4636;64,559717;
298,5194;57,647064;
298,5753;47,344595;
298,6311;38,463009;
298,6869;30,07907;
298,7428;26,750197;
298,7986;27,705428;
298,8544;20,066159;
298,9102;17,43495;
298,9661;13,391971;
299,0219;13,473413;
299,0777;17,549428;
299,1335;19,22705;
299,1894;18,125854;
299,2452;18,581313;
299,3010;18,41135;
299,3568;25,920664;
299,4127;38,244832;
299,4685;48,444479;
299,5243;52,875747;
299,5802;44,904073;
299,6360;27,711882;
299,6918;18,452234;
299,7476;17,425003;
299,8035;18,272616;
299,8593;25,458641;
299,9151;37,939279;
299,9709;55,816812;
300,0268;69,748781;
300,0826;77,193559;
300,1384;76,610744;
300,1943;67,755909;
300,2501;52,323644;
300,3059;41,935215;
300,3617;38,680619;
300,4176;29,913294;
300,4734;19,963624;
300,5292;21,504279;
300,5850;18,514271;
300,6409;26,579026;
300,6967;37,134511;
300,7525;49,339369;
300,8083;68,123415;
300,8642;77,772288;
300,9200;74,6289;
300,9758;67,105195;
301,0317;58,81813;
301,0875;49,381436;
301,1433;39,246507;
301,1991;37,930517;
301,2550;33,659022;
301,3108;21,101856;
301,3666;13,462133;
301,4224;15,861144;
301,4783;18,024271;
301,5341;24,571276;
301,5899;33,017912;
301,6457;40,479623;
301,7016;49,290929;
301,7574;50,057952;
301,8132;57,658844;
301,8691;68,425973;
301,9249;90,91482;
301,9807;110,42364;
302,0365;140,18281;
302,0924;168,35865;
302,1482;187,80549;
