;OOILIBS Data File;
Wavelength [nm];Counts;
293,8300;41,5;
293,8858;-2,9389007;
293,9416;-2,244539;
293,9975;-3,5403052;
294,0533;-1,6225597;
294,1091;-2,4602518;
294,1649;-3,1314504;
294,2208;-3,3605295;
294,2766;-2,7780703;
294,3324;-1,8305426;
294,3883;-2,5;
294,4441;0,21239696;
294,4999;0,019138139;
294,5557;-3,3096692;
294,6116;-4,4325472;
294,6674;-1,7161053;
294,7232;-1,9951692;
294,7790;-2,3135138;
294,8349;0,41884633;
294,8907;-3,5520507;
294,9465;-1,6210643;
295,0024;-2,61051;
295,0582;-4;
295,1140;-3,5676111;
295,1698;-3;
295,2257;1,4761828;
295,2815;17,461796;
295,3373;31,527034;
295,3931;41,257246;
295,4490;45,537115;
295,5048;40,286295;
295,5606;30,539437;
295,6164;23,503992;
295,6723;24,758229;
295,7281;34,294474;
295,7839;33,100853;
295,8398;32,168998;
295,8956;27,671418;
295,9514;24,613168;
296,0072;22,730656;
296,0631;21,946527;
296,1189;18,335271;
296,1747;13,540858;
296,2305;13,446025;
296,2864;11,240468;
296,3422;10,92718;
296,3980;17,90305;
296,4538;24,418717;
296,5097;32,919992;
296,5655;42,337449;
296,6213;57,569941;
296,6772;65,12805;
296,7330;67,793628;
296,7888;64,890572;
296,8446;50,738199;
296,9005;38,357949;
296,9563;39,469995;
297,0121;45,281136;
297,0679;48,297608;
297,1238;42,709334;
297,1796;35,024637;
297,2354;35,38137;
297,2913;46,376583;
297,3471;57,892768;
297,4029;63,13575;
297,4587;49,469346;
297,5146;28,602265;
297,5704;16,844093;
297,6262;14,905611;
297,6820;13,535557;
297,7379;13,26649;
297,7937;11,39469;
297,8495;12,680216;
297,9053;14,739023;
297,9612;15,807712;
298,0170;18,191902;
298,0728;24,175534;
298,1287;27,226256;
298,1845;42,547914;
298,2403;48,269014;
298,2961;48,116414;
298,3520;55,3703;
298,4078;62,774288;
298,4636;62,365286;
298,5194;58,978135;
298,5753;49,060766;
298,6311;39,216712;
298,6869;32,79244;
298,7428;30,325194;
298,7986;26,585535;
298,8544;21,37715;
298,9102;16,52238;
298,9661;13;
299,0219;13,411307;
299,0777;16,104071;
299,1335;16,220819;
299,1894;15,850426;
299,2452;17,34369;
299,3010;20,71928;
299,3568;28,648401;
299,4127;39,365068;
299,4685;52,206257;
299,5243;58,340892;
299,5802;47,922791;
299,6360;29,824729;
299,6918;20,527231;
299,7476;14,068891;
299,8035;16,695226;
299,8593;28,819571;
299,9151;40,657541;
299,9709;61,407986;
300,0268;78,959022;
300,0826;86,279159;
300,1384;86,107176;
300,1943;75,853302;
300,2501;59,173556;
300,3059;48,510212;
300,3617;42,202944;
300,4176;32,988291;
300,4734;20,461379;
300,5292;18,686988;
300,5850;20,835159;
300,6409;25,395297;
300,6967;37,972084;
300,7525;53,88994;
300,8083;76,52048;
300,8642;88,577828;
300,9200;82,442116;
300,9758;72,491647;
301,0317;66,946564;
301,0875;52,170127;
301,1433;46,302659;
301,1991;38,088218;
301,2550;35,138271;
301,3108;21,733967;
301,3666;17,53713;
301,4224;18,773099;
301,4783;18,648902;
301,5341;24,155013;
301,5899;30,870781;
301,6457;40,243943;
301,7016;51,878148;
301,7574;57,367051;
301,8132;63,351997;
301,8691;73,050921;
301,9249;92,070982;
301,9807;118,28455;
302,0365;144,7139;
302,0924;175,72611;
302,1482;196,51362;
302,2040;169,82649;
302,2598;112,06844;
302,3157;67,555627;
302,3715;52,717535;
302,4273;51,164129;
302,4832;56,621472;
302,5390;61,810046;
302,5948;85,590077;
302,6506;103,7356;
302,7065;89,324754;
302,7623;59,936794;
302,8181;31,500352;
302,8739;18,553982;
302,9298;22,575499;
302,9856;34,636642;
303,0414;47,002685;
303,0972;61,965959;
303,1531;68,03803;
303,2089;65,414905;
303,2647;52,592616;
303,3206;36,088391;
303,3764;20,024063;
303,4322;23,078053;
303,4880;29,675289;
303,5439;36,730696;
303,5997;54,575961;
303,6555;74,34082;
303,7113;86,680222;
303,7672;94,273452;
303,8230;95,874194;
303,8788;77,459573;
303,9347;50,309813;
303,9905;45,946218;
304,0463;53,302023;
304,1021;73,312692;
304,1580;89,057409;
304,2138;100,19408;
304,2696;105,99136;
304,3254;109,68983;
304,3813;111,84588;
304,4371;113,72836;
304,4929;125,68915;
304,5487;139,00858;
304,6046;131,24086;
304,6604;115,42583;
304,7162;109,68602;
304,7721;118,50279;
304,8279;128,8616;
304,8837;99,256636;
304,9395;63,991492;
304,9954;35,848043;
305,0512;29,848676;
305,1070;25,466723;
305,1628;24,691818;
305,2187;23,4502;
305,2745;22,216868;
305,3303;28,067131;
305,3862;39,930318;
305,4420;65,581261;
305,4978;82,825937;
305,5536;87,684642;
305,6095;77,198552;
305,6653;64,185257;
305,7211;73,370265;
305,7769;103,42477;
305,8328;125,30588;
305,8886;119,99184;
305,9444;109,75076;
306,0002;98,330521;
306,0561;70,488391;
306,1119;42,558339;
306,1677;34,067084;
306,2236;36,148701;
306,2794;41,694514;
306,3352;38,848705;
306,3910;33,115983;
306,4469;27,123223;
306,5027;26,446144;
306,5585;33,011071;
306,6143;53,064487;
306,6702;79,685415;
306,7260;102,86812;
306,7818;118,89537;
306,8376;107,23992;
306,8935;76,261877;
306,9493;51,249899;
307,0051;45,497535;
307,0610;57,287324;
307,1168;73,728313;
307,1726;81,603732;
307,2284;89,218508;
307,2843;120,83935;
307,3401;145,03795;
307,3959;127,98205;
307,4517;100,84236;
307,5076;79,716607;
307,5634;87,816392;
307,6192;116,49644;
307,6751;126,56624;
307,7309;92,968044;
307,7867;53,069481;
307,8425;42,373923;
307,8984;48,359585;
307,9542;57,371599;
308,0100;63,164664;
308,0658;74,940571;
308,1217;87,171999;
308,1775;119,24642;
308,2333;185,23051;
308,2891;245,52921;
308,3450;230,4922;
308,4008;169,40103;
308,4566;115,51926;
308,5125;74,691742;
308,5683;40,188292;
308,6241;25,485774;
308,6799;21,905691;
308,7358;21,925733;
308,7916;29,311814;
308,8474;42,035047;
308,9032;47,397233;
308,9591;42,205433;
309,0149;38,539529;
309,0707;44,586228;
309,1266;60,172669;
309,1824;99,133833;
309,2382;172,09391;
309,2940;266,90642;
309,3499;345,83225;
309,4057;311,17772;
309,4615;210,55602;
309,5173;109,47131;
309,5732;61,519039;
309,6290;47,280401;
309,6848;39,657272;
309,7406;42,191644;
309,7965;44,862436;
309,8523;40,120127;
309,9081;46,703334;
309,9640;66,143896;
310,0198;112,76198;
310,0756;176,82114;
310,1314;187,93169;
310,1873;140,41881;
310,2431;78,16542;
310,2989;43,601852;
310,3547;27,224437;
310,4106;24,538549;
310,4664;22,747178;
310,5222;18,122882;
310,5781;16;
310,6339;16,849621;
310,6897;17,412841;
310,7455;18,384804;
310,8014;20,187457;
310,8572;17,478266;
310,9130;19,35567;
310,9688;19,088684;
311,0247;21,040382;
311,0805;27,719148;
311,1363;34,89219;
311,1921;36,586848;
311,2480;30,243211;
311,3038;27,256622;
311,3596;24,959045;
311,4155;20,781585;
311,4713;23,381638;
311,5271;24,5;
311,5829;23,530225;
311,6388;29,732885;
311,6946;33,982932;
311,7504;37,957192;
311,8062;32,672457;
311,8621;25,539476;
311,9179;22,553179;
311,9737;27,555798;
312,0295;36,737932;
312,0854;39,846699;
312,1412;40,47237;
312,1970;30,63637;
312,2529;22,147738;
312,3087;20,119802;
312,3645;20,838305;
312,4203;20,407489;
312,4762;20,33926;
312,5320;27,209636;
312,5878;36,368355;
312,6436;50,56986;
312,6995;50,670841;
312,7553;31,705099;
312,8111;21,714092;
312,8670;15,693309;
312,9228;13;
312,9786;13,644886;
313,0344;16,354809;
313,0903;19,260691;
313,1461;16,347055;
313,2019;17,49333;
313,2577;19,396849;
313,3136;19,675308;
313,3694;24,801044;
313,4252;23,733842;
313,4810;25,336816;
313,5369;27;
313,5927;24,584329;
313,6485;20,585516;
313,7044;20,979905;
313,7602;19,81709;
313,8160;15,254842;
313,8718;14,45465;
313,9277;13,5;
313,9835;13,749396;
314,0393;17,662645;
314,0951;23,953687;
314,1510;22,830918;
314,2068;21,829517;
314,2626;26,189392;
314,3185;30,093143;
314,3743;37,273464;
314,4301;42,612949;
314,4859;36,978866;
314,5418;32,422126;
314,5976;26,238764;
314,6534;22,336185;
314,7092;18,617965;
314,7651;19,038041;
314,8209;23,878175;
314,8767;32,650307;
314,9325;40,973721;
314,9884;33,956759;
315,0442;29,180829;
315,1000;29,58726;
315,1559;36,379024;
315,2117;41,263699;
315,2675;39,287759;
315,3233;35,05126;
315,3792;34;
315,4350;37,317517;
315,4908;40,547523;
315,5466;32,420428;
315,6025;34,249453;
315,6583;39,944028;
315,7141;41,85993;
315,7700;51,70061;
315,8258;52,020947;
315,8816;45,625961;
315,9374;36,834429;
315,9933;33,076569;
316,0491;44,015712;
316,1049;64,494858;
316,1607;83,976037;
316,2166;85,599684;
316,2724;76,522318;
316,3282;58,809959;
316,3840;39,104203;
316,4399;27,638421;
316,4957;21,142981;
316,5515;22,08202;
316,6074;25,375455;
316,6632;36,692212;
316,7190;39,906315;
316,7748;40,242654;
316,8307;39,065372;
316,8865;42,524753;
316,9423;47,361845;
316,9981;37,078164;
317,0540;25,649127;
317,1098;20,587437;
317,1656;24,608798;
317,2214;26,147041;
317,2773;24,99184;
317,3331;26,605648;
317,3889;25,210797;
317,4448;27,802859;
317,5006;34,582363;
317,5564;45,618051;
317,6122;59,045684;
317,6681;58,400669;
317,7239;45,292741;
317,7797;41,464096;
317,8355;54,974789;
317,8914;76,124768;
317,9472;88,885874;
318,0030;96,558227;
318,0589;105,60854;
318,1147;104,98141;
318,1705;82,107758;
318,2263;58,449258;
318,2822;45,071041;
318,3380;41,199045;
318,3938;42,427934;
318,4496;37,627573;
318,5055;41,193453;
318,5613;45,845837;
318,6171;42,917939;
318,6729;44,991705;
318,7288;53,642747;
318,7846;50,214489;
318,8404;40,11383;
318,8963;43,466337;
318,9521;57,29159;
319,0079;55,675;
319,0637;48,860539;
319,1196;49,480063;
319,1754;65,108164;
319,2312;87,107544;
319,2870;112,20151;
319,3429;141,94599;
319,3987;158,90573;
319,4545;134,86547;
319,5104;84,76818;
319,5662;61,409094;
319,6220;59,741538;
319,6778;87,965928;
319,7337;143,93105;
319,7895;170,28399;
319,8453;131,2442;
319,9011;81,00574;
319,9570;70,640152;
320,0128;107,94961;
320,0686;153,31711;
320,1244;165,35238;
320,1803;123,1333;
320,2361;77,934878;
320,2919;56,274054;
320,3478;52,779483;
320,4036;49,569355;
320,4594;46,137588;
320,5152;54,823825;
320,5711;75,769668;
320,6269;90,317133;
320,6827;78,665836;
320,7385;59,074147;
320,7944;47,217438;
320,8502;46,941392;
320,9060;59,129742;
320,9618;66,704338;
321,0177;85,972208;
321,0735;119,61367;
321,1293;163,83249;
321,1852;206,18421;
321,2410;253,64289;
321,2968;276,88477;
321,3526;283,71786;
321,4085;266,68413;
321,4643;302,73803;
321,5201;270,40647;
321,5759;198,9771;
321,6318;150,19102;
321,6876;142,07481;
321,7434;146,48772;
321,7993;146,39581;
321,8551;121,08923;
321,9109;98,831331;
321,9667;115,99645;
322,0226;178,02146;
322,0784;203,53429;
322,1342;167,84999;
322,1900;158,73849;
322,2459;230,80417;
322,3017;278,03959;
322,3575;229,77665;
322,4133;152,86836;
322,4692;120,26592;
322,5250;144,81347;
322,5808;235,41295;
322,6367;352,97021;
322,6925;362,70206;
322,7483;270,91049;
322,8041;234,3246;
322,8600;371,31288;
322,9158;417,55723;
322,9716;304,81168;
323,0274;206,29176;
323,0833;199,54107;
323,1391;240,85417;
323,1949;229,95346;
323,2508;161,87964;
323,3066;117,41015;
323,3624;133,68164;
323,4182;173,53251;
323,4741;218,31343;
323,5299;249,99306;
323,5857;231,14107;
323,6415;191,6516;
323,6974;243,94528;
323,7532;354,59418;
323,8090;303,15856;
323,8648;192,68159;
323,9207;139,26175;
323,9765;172,27332;
324,0323;207,91819;
324,0882;206,83561;
324,1440;174,98865;
324,1998;132,59384;
324,2556;108,50892;
324,3115;103,26661;
324,3673;110,88165;
324,4231;172,76291;
324,4789;236,12863;
324,5348;198,45514;
324,5906;113,55329;
324,6464;73,147185;
324,7023;69,625108;
324,7581;91,802236;
324,8139;128,82323;
324,8697;190,7208;
324,9256;257,5454;
324,9814;234,44938;
325,0372;126,98809;
325,0930;74,204707;
325,1489;84,514597;
325,2047;104,73012;
325,2605;110,47321;
325,3163;134,54654;
325,3722;177,40281;
325,4280;188,24955;
325,4838;166,55625;
325,5397;131,36007;
325,5955;109,98766;
325,6513;128,76636;
325,7071;167,74214;
325,7630;144,07494;
325,8188;97,425143;
325,8746;108,23241;
325,9304;141,26764;
325,9863;125,47858;
326,0421;106,11418;
326,0979;120,98084;
326,1537;118,63019;
326,2096;89,477185;
326,2654;67,885811;
326,3212;59,116292;
326,3771;47,716442;
326,4329;47,459111;
326,4887;69,696814;
326,5445;121,66079;
326,6004;157,52563;
326,6562;143,53332;
326,7120;101,32633;
326,7678;56,296638;
326,8237;52,09911;
326,8795;60,970805;
326,9353;69,217262;
326,9912;64,394843;
327,0470;51,745142;
327,1028;66,332368;
327,1586;109,14743;
327,2145;126,5496;
327,2703;101,175;
327,3261;71,090311;
327,3819;62,246996;
327,4378;66,400232;
327,4936;68,730559;
327,5494;61,271512;
327,6052;48,346797;
327,6611;46,225274;
327,7169;55,422052;
327,7727;61,258479;
327,8286;72,058472;
327,8844;84,334887;
327,9402;108,27086;
327,9960;123,7925;
328,0519;145,44726;
328,1077;213,08675;
328,1635;300,93118;
328,2193;482,90567;
328,2752;844,96372;
328,3310;1077,7554;
328,3868;869,55029;
328,4427;469,4556;
328,4985;240,77131;
328,5543;151,371;
328,6101;120,16606;
328,6660;126,63971;
328,7218;183,77724;
328,7776;246,01748;
328,8334;224,78651;
328,8893;130,20102;
328,9451;76,588421;
329,0009;66,889167;
329,0567;57,75517;
329,1126;56,522326;
329,1684;69,531316;
329,2242;84,970589;
329,2801;115,47464;
329,3359;134,6091;
329,3917;119,12666;
329,4475;88,352548;
329,5034;67,99867;
329,5592;63,919766;
329,6150;71,270088;
329,6708;94,777539;
329,7267;101,01262;
329,7825;118,47127;
329,8383;141,33584;
329,8942;176,48345;
329,9500;199,67447;
330,0058;191,55069;
330,0616;230,96615;
330,1175;315,07429;
330,1733;450,72468;
330,2291;714,4499;
330,2849;1228,5408;
330,3408;1810,2104;
330,3966;1894,5726;
330,4524;1300,6685;
330,5082;693,46026;
330,5641;400,46344;
330,6199;315,31572;
330,6757;366,00016;
330,7316;426,26524;
330,7874;342,0032;
330,8432;213,1726;
330,8990;130,49167;
330,9549;99,999511;
331,0107;89,197385;
331,0665;81,272726;
331,1223;77,412631;
331,1782;74,657453;
331,2340;67,743087;
331,2898;72,750784;
331,3456;77,731541;
331,4015;75,05271;
331,4573;88,830085;
331,5131;115,04445;
331,5690;153,60229;
331,6248;146,94336;
331,6806;115,71618;
331,7364;94,713531;
331,7923;92,579681;
331,8481;96,68817;
331,9039;89,415989;
331,9597;77,869929;
332,0156;63,794377;
332,0714;57,235728;
332,1272;57,205265;
332,1831;59,132107;
332,2389;59,386715;
332,2947;60,840084;
332,3505;80,727677;
332,4064;98,232821;
332,4622;107,39841;
332,5180;89,178028;
332,5738;64,241865;
332,6297;55,250784;
332,6855;45,303139;
332,7413;46,473997;
332,7971;44,586026;
332,8530;46,104381;
332,9088;58,156047;
332,9646;80,389034;
333,0205;96,430251;
333,0763;89,838272;
333,1321;89,609085;
333,1879;81,058848;
333,2438;71,732942;
333,2996;67,745789;
333,3554;59,499705;
333,4112;54,698217;
333,4671;59,733719;
333,5229;63,260405;
333,5787;76,028546;
333,6346;94,802487;
333,6904;95,724289;
333,7462;93,395004;
333,8020;96,760953;
333,8579;108,51338;
333,9137;113,96269;
333,9695;123,67763;
334,0253;138,21215;
334,0812;167,40163;
334,1370;203,80478;
334,1928;228,38384;
334,2486;317,71608;
334,3045;420,59318;
334,3603;507,67471;
334,4161;635,94089;
334,4720;928,95192;
334,5278;1485,2635;
334,5836;2158,24;
334,6394;2463,5781;
334,6953;1984,0657;
334,7511;1233,7389;
334,8069;697,37369;
334,8627;437,33358;
334,9186;335,47782;
334,9744;325,79798;
335,0302;359,88558;
335,0861;323,61361;
335,1419;216,74377;
335,1977;139,90743;
335,2535;109,43202;
335,3094;94,797427;
335,3652;84,419409;
335,4210;77,660966;
335,4768;79,275735;
335,5327;112,47967;
335,5885;133,12243;
335,6443;118,70512;
335,7001;82,769395;
335,7560;67,494813;
335,8118;52,813828;
335,8676;49,063528;
335,9235;50,795219;
335,9793;47,110377;
336,0351;47,497524;
336,0909;58,393122;
336,1468;83,9323;
336,2026;148,58833;
336,2584;171,05285;
336,3142;124,79457;
336,3701;64,548925;
336,4259;38,753582;
336,4817;35,474503;
336,5375;33,950553;
336,5934;34,568447;
336,6492;32,403664;
336,7050;32,444716;
336,7609;49;
336,8167;48,380072;
336,8725;43,805887;
336,9283;37,377209;
336,9842;46,625154;
337,0400;76,028553;
337,0958;105,08292;
337,1516;137,45298;
337,2075;168,96444;
337,2633;170,40452;
337,3191;153,36063;
337,3750;155,71911;
337,4308;138,22004;
337,4866;79,5433;
337,5424;44,158671;
337,5983;30,267073;
337,6541;24,696666;
337,7099;25,651852;
337,7657;32,040998;
337,8216;44,362772;
337,8774;66,661394;
337,9332;77,085533;
337,9890;78,517105;
338,0449;86,646827;
338,1007;87,648865;
338,1565;90,704841;
338,2124;72,559659;
338,2682;45,054892;
338,3240;37,603791;
338,3798;47,793117;
338,4357;99,810514;
338,4915;153,83636;
338,5473;149,29445;
338,6031;85,022813;
338,6590;55,200245;
338,7148;60,427158;
338,7706;50,943138;
338,8265;41,293894;
338,8823;53,450585;
338,9381;54,304348;
338,9939;39,402741;
339,0498;27,917388;
339,1056;27,77531;
339,1614;23,461529;
339,2172;24,523357;
339,2731;53,324542;
339,3289;102,59815;
339,3847;140,06505;
339,4405;116,10225;
339,4964;75,391715;
339,5522;66,415846;
339,6080;68,360744;
339,6639;49,293672;
339,7197;35,774211;
339,7755;31,889275;
339,8313;33,005801;
339,8872;33,410492;
339,9430;39,40891;
339,9988;74,380478;
340,0546;104,52907;
340,1105;91,501181;
340,1663;60,130703;
340,2221;41,681194;
340,2779;57,169233;
340,3338;70,428739;
340,3896;61,037934;
340,4454;54,914574;
340,5013;73,739226;
340,5571;98,498748;
340,6129;94,893398;
340,6687;69,334683;
340,7246;73,903789;
340,7804;143,60662;
340,8362;254,86533;
340,8920;270,32275;
340,9479;188,03777;
341,0037;83,958543;
341,0595;49,382989;
341,1154;44,343075;
341,1712;50,573128;
341,2270;50,767169;
341,2828;48,915693;
341,3387;65,942046;
341,3945;108,99232;
341,4503;139,94189;
341,5061;113,46692;
341,5620;62,895434;
341,6178;43,486806;
341,6736;41,930041;
341,7294;38,140272;
341,7853;41,343979;
341,8411;73,449983;
341,8969;127,22414;
341,9528;158,46975;
342,0086;131,83463;
342,0644;82,126356;
342,1202;44,952259;
342,1761;36,870407;
342,2319;36,302737;
342,2877;49,225823;
342,3435;74,926342;
342,3994;95,665699;
342,4552;101,52631;
342,5110;105,18547;
342,5669;124,45675;
342,6227;119,37111;
342,6785;104,61652;
342,7343;143,48486;
342,7902;244,81575;
342,8460;294,92154;
342,9018;261,26892;
342,9576;170,27738;
343,0135;104,65271;
343,0693;60,001808;
343,1251;38,520102;
343,1809;34,179912;
343,2368;37,827106;
343,2926;40,347156;
343,3484;41,808079;
343,4043;46,049345;
343,4601;47,568203;
343,5159;50,107826;
343,5717;47,498822;
343,6276;41,572196;
343,6834;37,679172;
343,7392;42,273314;
343,7950;48,744167;
343,8509;57,16907;
343,9067;68,760619;
343,9625;81,436689;
344,0184;95,046836;
344,0742;158,47533;
344,1300;347,37181;
344,1858;573,26257;
344,2417;703,98397;
344,2975;658,26409;
344,3533;524,73762;
344,4091;384,12715;
344,4650;272,51031;
344,5208;257,95513;
344,5766;255,22906;
344,6324;207,03049;
344,6883;171,0187;
344,7441;118,01223;
344,7999;88,96442;
344,8558;83,822971;
344,9116;78,913982;
344,9674;57,092973;
345,0232;50,957243;
345,0791;54,375752;
345,1349;71,380239;
345,1907;84,442185;
345,2465;90,064942;
345,3024;107,90779;
345,3582;117,16218;
345,4140;95,419569;
345,4698;64,786665;
345,5257;46,515017;
345,5815;41,966976;
345,6373;37,64532;
345,6932;38;
345,7490;37,670107;
345,8048;40,456061;
345,8606;42,058821;
345,9165;46,148416;
345,9723;58,998789;
346,0281;77,038524;
346,0839;151,58083;
346,1398;244,72846;
346,1956;251,99617;
346,2514;177,82344;
346,3073;102,58682;
346,3631;63,749471;
346,4189;48,889127;
346,4747;48,96234;
346,5306;47,975143;
346,5864;59,53659;
346,6422;122,32392;
346,6980;189,39583;
346,7539;216,81844;
346,8097;146,29614;
346,8655;70,360872;
346,9213;47,36469;
346,9772;48,764837;
347,0330;57,104652;
347,0888;58,291807;
347,1447;52,324029;
347,2005;56,560281;
347,2563;61,546032;
347,3121;58,95616;
347,3680;53,248961;
347,4238;76,992515;
347,4796;155,46091;
347,5354;238,95766;
347,5913;319,02971;
347,6471;348,11732;
347,7029;351;
347,7588;324,72331;
347,8146;245,39626;
347,8704;169,05519;
347,9262;82,94741;
347,9821;53,519261;
348,0379;44,927371;
348,0937;41,215705;
348,1495;38,717492;
348,2054;43,716446;
348,2612;52,234509;
348,3170;75,712603;
348,3728;138,54213;
348,4287;172,14947;
348,4845;161,20944;
348,5403;107,98337;
348,5962;78,135606;
348,6520;75,248413;
348,7078;71,702474;
348,7636;55,408387;
348,8195;46,068673;
348,8753;51,634683;
348,9311;100,32502;
348,9869;145,33798;
349,0428;168,49268;
349,0986;198,39551;
349,1544;245,58749;
349,2103;251,90495;
349,2661;198,88982;
349,3219;110,15899;
349,3777;60,165334;
349,4336;48,88731;
349,4894;43,44441;
349,5452;39,588625;
349,6010;55,747641;
349,6569;94,752693;
349,7127;120,01299;
349,7685;150,53507;
349,8243;204,09394;
349,8802;252,99771;
349,9360;238,56114;
349,9918;162,98756;
350,0477;80,679436;
350,1035;48,996145;
350,1593;39,366498;
350,2151;38,494274;
350,2710;37,566037;
350,3268;31,762534;
350,3826;26,660474;
350,4384;23,431653;
350,4943;23;
350,5501;34,65787;
350,6059;47,840029;
350,6617;52,039841;
350,7176;57,807396;
350,7734;63,91757;
350,8292;53,724202;
350,8851;51,346594;
350,9409;48,329553;
350,9967;45,534773;
351,0525;48,94892;
351,1084;44,945129;
351,1642;48,609578;
351,2200;51,255786;
351,2758;47,940997;
351,3317;47,99431;
351,3875;64,547105;
351,4433;108,44775;
351,4992;153,49813;
351,5550;160,3711;
351,6108;110,12041;
351,6666;66,34354;
351,7225;51,72165;
351,7783;45,928528;
351,8341;48,969211;
351,8899;39,339715;
351,9458;34,539574;
352,0016;40,394253;
352,0574;41,581137;
352,1132;45,989115;
352,1691;95,483881;
352,2249;163,40646;
352,2807;194,33643;
352,3366;167,58812;
352,3924;106,0223;
352,4482;83,030332;
352,5040;92,175691;
352,5599;101,19394;
352,6157;123,96973;
352,6715;206,39683;
352,7273;332,61383;
352,7832;374,39558;
352,8390;305,0074;
352,8948;210,7256;
352,9507;148,54191;
353,0065;129,78552;
353,0623;141,13803;
353,1181;184,68569;
353,1740;260,17881;
353,2298;474,367;
353,2856;800,33168;
353,3414;962,99272;
353,3973;846,37955;
353,4531;561,35616;
353,5089;314,2915;
353,5647;185,7072;
353,6206;135,49504;
353,6764;140,74914;
353,7322;176,37089;
353,7881;193,97858;
353,8439;201,1064;
353,8997;166,68131;
353,9555;132,62504;
354,0114;106,88701;
354,0672;96,161133;
354,1230;133,4518;
354,1788;212,1978;
354,2347;301,63349;
354,2905;356,22494;
354,3463;328,68458;
354,4022;258,20877;
354,4580;179,68303;
354,5138;135,69221;
354,5696;112,64469;
354,6255;123,53452;
